Ticker,Price,ROE %,ATR/Price %,Debt/Eq,RSI,Rel Volume,"Avg Volume, M",Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FI,143.0,12.66,4.027972027972028,1.17,22.31,5.37,5.36,-13.85,-3.3639493177438045,-5.824194167219269,7.183835845556978,1.6620382740559703,4.486413561442874,0.1,0.06245178297172247,0.22832568701511666
TXN,186.25,29.88,3.1731543624161076,0.86,27.27,4.56,6.72,-13.34,-2.892667681819806,-5.624267566565169,5.835704225420501,0.6851708679612452,4.079551095222716,0.1,0.0792757005100563,0.20761935870897058
EQT,51.96,6.26,3.945342571208622,0.39,36.67,3.05,7.99,-4.38,-1.999512968576743,-2.1118316021323427,3.3225205878821304,1.567611092274472,1.946713608097159,0.1,0.06375974465254522,0.09907350624348367
ADI,228.08,5.21,2.420203437390389,0.21,38.41,2.09,3.75,-3.15,-1.834184330167921,-1.6296556829077475,1.7247349640166765,-0.1752853985434392,1.5748195372341631,0.1,0.10393921065508395,0.08014681389474416
AIG,79.51,6.13,1.8362470129543451,0.21,33.54,1.42,3.94,-2.35,-2.296914484794912,-1.3160453289405307,0.6096137473605786,-0.8426183522209986,1.4707205195016204,0.1,0.13699357065384773,0.07484893410371182
STM,31.77,6.32,2.864337425243941,0.16,54.82,2.5,7.0,-4.91,-0.2749642403467869,-2.319598461635624,2.407122574209214,0.33226145519507055,1.3562953150161796,0.1,0.08782276581316337,0.06902552681676054
RRC,35.72,11.99,3.3314669652855544,0.34,34.9,2.67,2.84,0.2,-2.1676921007512346,-0.31641232567002775,2.6900637784353885,0.866087135779138,1.3208405913566057,0.1,0.0755084884611834,0.06722114030030667
COST,941.19,32.08,1.5363529149268478,0.31,31.34,1.17,2.05,-0.04,-2.5059506942773306,-0.4104954318601927,0.1935237411456166,-1.1853309346203311,1.1779939858392896,0.1,0.16373453811493274,0.05995129125588887
KMI,26.81,8.86,2.2006713912719134,1.06,36.59,1.67,13.35,-0.59,-2.007114285285194,-0.626102550212654,1.0257037535755404,-0.42616194109471595,1.1693828372488266,0.1,0.11430785891286034,0.05951304667790253
AM,16.95,19.71,2.24188790560472,1.49,34.43,0.85,2.6,-1.34,-2.212349836413388,-0.9201122570569197,-0.3390714668095346,-0.37906058712542223,1.0664534980652427,0.1,0.1122063392546045,0.054274694983114616
