Ticker,Rel Volume,ROE %,RSI,ATR/Price %,"Avg Volume, M",Change %,Debt/Eq,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
LKQ,8.53,11.2,23.39,4.349196344153797,2.14,-17.82,0.91,31.73,-2.9457753949184293,-6.846299122283414,10.668617581465048,1.9117006426539516,5.369779533048258,0.1,0.09268808153134538,0.21868273048118717
CMG,6.02,42.59,25.43,3.8696982947092256,12.89,-13.34,1.35,45.74,-2.762626701388991,-5.0721470891203255,7.106414178614324,1.389236884419487,4.024529973959177,0.1,0.10417315114563662,0.16389782824271204
STM,2.85,6.32,33.75,4.676393565282455,7.11,-15.86,0.16,26.73,-2.015667323857164,-6.070107607774562,2.607535777404445,2.2682165659883022,3.124706724953163,0.1,0.08620289539689502,0.1272527846553481
CNC,3.96,12.59,20.1,7.062780269058296,10.03,-9.04,0.66,26.76,-3.2411475526203177,-3.3692779501468255,4.182852820099387,4.868436874078645,2.6633758025805125,0.1,0.05707648404535535,0.10846521523299855
LYB,2.48,7.19,46.68,3.822075782537067,3.85,-9.7,1.04,60.7,-0.8548278104573408,-3.6306485621753164,2.082430096506131,1.3373471286324645,1.8526680368594097,0.1,0.10547113356166084,0.07544937412833544
CVS,1.5,7.0,26.22,2.6042553191489364,8.3,-5.01,1.06,58.75,-2.6917014720320025,-1.7733331524577087,0.6916096443970831,0.010403136068527151,1.7000437338439627,0.1,0.15479229796658128,0.06923379318766704
ELV,1.74,12.48,27.84,4.732018685589987,2.05,-5.45,0.69,280.43,-2.5462598624645074,-1.9475802271433693,1.0322187347095029,2.3288260083870393,1.5464051774659533,0.1,0.08518957597744474,0.06297690706987548
FI,2.23,12.66,20.89,4.069103369503141,5.77,-2.04,1.17,140.08,-3.1702223232633293,-0.5971653983295008,1.727628960764027,1.6065097699057433,1.5034605177197216,0.1,0.09906818007230406,0.06122799812583167
FLEX,1.96,17.67,48.81,3.080330179182605,4.43,-7.68,0.84,49.67,-0.6635990275074858,-2.8306960829366026,1.3444437341625546,0.5291369679626441,1.4389783386916775,0.1,0.13086865429787392,0.05860197988980464
TSLA,1.43,8.43,43.88,4.7723550605961345,109.09,-8.2,0.09,305.3,-1.1062083702036285,-3.036624443928747,0.5922653263892939,2.372776748340368,1.3311668753901533,0.1,0.0844695460049029,0.054211388986239936
