Ticker,Price,ROE %,"Avg Volume, M",ATR/Price %,Change %,Rel Volume,RSI,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BUD,66.35,7.31,2.11,1.5975885455915602,-5.48,2.06,37.63,0.92,-1.561683716541618,-2.9983187093822834,3.1648153253211557,-1.0611889689173541,2.335082811029332,0.1,0.1506588773803136,0.13939480402879711
CMG,44.86,42.59,13.79,3.923316986179224,-4.06,2.32,26.74,1.35,-2.5157214051998626,-2.181806640247915,3.8667071388367726,1.6056207043030188,2.256914173243775,0.1,0.061348827444318375,0.134728459052144
CNC,26.86,7.5,11.47,7.1109456440804175,-5.39,1.86,24.58,0.64,-2.7049520211320766,-2.946567944437147,2.6248985456937577,5.260733137540237,1.9769383833339558,0.1,0.033847944962824755,0.11801506020266882
PGR,240.97,34.34,3.41,2.1164460306262187,-3.65,1.63,34.12,0.24,-1.8691834674314658,-1.9460531554978513,2.0039942491222495,-0.4662380984865865,1.7827554776983694,0.1,0.11372408902071378,0.10642314237047723
EPD,31.15,20.49,4.04,1.5088282504012842,-1.27,2.7,44.87,1.11,-0.9274107261021612,-0.5775329269486993,4.892549020128829,-1.1629664635209427,1.6215367289456613,0.1,0.15952173266271946,0.09679904862013815
LKQ,31.49,11.2,2.37,4.160050809780883,-2.11,1.72,24.72,0.91,-2.6926870738031368,-1.0605400664366351,2.246956799954579,1.8770728823568885,1.575313570839147,0.1,0.057857681985175075,0.09403971690161576
INFY,17.16,30.46,11.5,2.0396270396270397,-1.21,1.89,32.35,0.09,-2.0242474443759186,-0.5430324169852753,2.705886062637867,-0.5543230290865988,1.4951574669126513,0.1,0.11800730825694704,0.08925472840109212
FI,139.94,12.66,5.71,3.9374017436044015,-1.47,1.39,23.19,1.18,-2.826725426755121,-0.6925346268267792,1.356094113569372,1.62177107108313,1.3407827343592262,0.1,0.06112937222761973,0.08003919416408713
MMC,206.27,28.33,2.21,1.84709361516459,-1.96,1.12,34.21,1.37,-1.86129885843429,-0.9742887915280752,0.6272064610723853,-0.7750925694225147,1.1954062266435563,0.1,0.13030790362676067,0.07136081680303595
ACN,277.04,27.27,3.28,2.1188276061218594,-2.16,1.12,35.28,0.27,-1.7675596181345359,-1.0892904914061554,0.6272064610723853,-0.4635072514717586,1.1716895557008948,0.1,0.11359626243260756,0.06994502945594376
