Ticker,Price,ATR/Price %,"Avg Volume, M",RSI,Rel Volume,Debt/Eq,Change %,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
NVO,53.94,5.524657026325547,9.51,26.39,11.61,0.86,-21.83,87.53,-2.471262068215939,-7.738824199919648,10.671125138401232,3.225056884933341,5.385249533034368,0.1,0.06297761998718639,0.21435295840934335
EXEL,36.94,5.035192203573362,3.37,29.43,4.67,0.09,-16.78,29.0,-2.204360779482257,-5.9219956422006605,3.630469082441474,2.6927014118584722,3.3010484228914687,0.1,0.06909959673764818,0.131394003371388
BRO,91.91,2.5894897182025893,3.21,18.18,3.26,0.67,-10.4,11.27,-3.1920711407499964,-3.6266756029437994,2.2000187886513785,0.03268777435314134,2.82329634058779,0.1,0.134362283162481,0.11237769380210513
SPOT,620.01,4.664440896114579,2.04,32.6,5.62,0.34,-11.55,24.28,-1.9260459487961468,-4.040408838860005,4.594247649179481,2.289462039996042,2.7781625015159452,0.1,0.07459195185714339,0.11058119916057087
PYPL,71.45,3.107067879636109,9.57,41.22,4.47,0.66,-8.66,22.2,-1.1692403208736653,-3.0006792286010193,3.4275683315492618,0.5956200918052285,2.0854234994454695,0.1,0.11198009320743194,0.08300761067809356
CARR,71.67,2.776615041160876,4.84,38.85,2.71,0.84,-10.61,25.69,-1.377317970314069,-3.7022268895024104,1.6420417236977953,0.2362104489094341,2.0826280007843834,0.1,0.12530716199606964,0.08289633943531134
LI,27.38,4.017531044558073,4.15,41.89,5.69,0.23,-6.2,12.22,-1.1104166815803864,-2.1156498717715713,4.665262911991756,1.585865000834518,1.9035893759880846,0.1,0.08660287796276173,0.07576993634865568
UNH,261.07,3.5239590914314167,18.59,29.15,2.23,0.86,-7.46,24.33,-2.228943792918254,-2.56895759112324,1.1550799215564864,1.0490424992177656,1.8053772188040436,0.1,0.09873263046936845,0.07186072725536773
JCI,103.24,2.256877179387834,4.63,40.67,2.45,0.71,-7.42,14.92,-1.217528382980088,-2.5545668698739803,1.37827074753792,-0.3290708183394566,1.6287945698404533,0.1,0.15416423806360766,0.06483208114028666
LKQ,30.47,4.233672464719397,2.39,22.58,1.89,0.91,-3.24,11.2,-2.8057666438986137,-1.0507364993263824,0.8101486450397257,1.8209463848940879,1.3297111906472847,0.1,0.08218154655630165,0.05292745039887771
