Ticker,"Avg Volume, M",Price,Debt/Eq,RSI,Change %,Rel Volume,ROE %,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PANW,4.95,183.03,0.1,36.5,-5.58,8.52,21.16,3.5731847238157677,-1.2242892729360313,-1.9195497462170181,8.788974583940261,1.223701571099341,2.7357684163816853,0.1,0.0847960749986507,0.16160195201544997
FCX,13.49,39.14,0.51,31.82,-9.46,4.8,10.74,4.368932038834951,-1.605492857987947,-3.5231140805577144,4.3559407625026925,2.1317547353309805,2.4530251074584215,0.1,0.06935151133765695,0.14490029321724704
NVO,11.12,50.03,0.86,23.35,-7.25,5.8,87.53,6.156306216270238,-2.2954061839259228,-2.6097436736265442,5.547616520953652,4.17138559157447,2.4091871951766466,0.1,0.04921653166373533,0.1423107859495279
ENTG,3.38,79.34,1.06,36.64,-14.55,2.3,8.08,4.965969246281825,-1.2128857468874699,-5.626759044937647,1.3767513663752944,2.8130533274262426,2.3879206176712255,0.1,0.06101367624287532,0.141054568348292
MDLZ,7.13,65.1,0.82,35.64,-6.61,3.09,13.51,2.227342549923195,-1.2943395043771952,-2.345238216415708,2.3181752155515523,-0.3120827432091237,1.768695519708739,0.1,0.1360329778799237,0.1044769165381123
CAG,8.97,18.53,0.93,30.59,-4.39,1.65,13.27,2.914193200215866,-1.7056809797003096,-1.4277349117156193,0.6021621233821709,0.4717048921130052,1.1699574974607088,0.1,0.10397115736948084,0.06910943712656098
MET,2.79,74.79,0.72,35.76,-3.72,1.78,16.08,1.9387618665597004,-1.2845650534784285,-1.150830761198025,0.7570799719807958,-0.6413915548361323,1.0679436850165311,0.1,0.15628120454131328,0.06308347706181218
RIO,3.4,59.49,0.25,45.28,-4.46,2.44,21.04,2.235669860480753,-0.5091252821762406,-1.4566651960980546,1.5435859725584289,-0.3025801780623627,1.0270018797139253,0.1,0.13552628909152095,0.06066504295155651
LULU,3.07,206.47,0.4,26.93,-3.54,1.25,42.49,3.3176732697244153,-2.0038017321127053,-1.0764386013574774,0.12549182000178727,0.9321291334600305,1.0099695673689182,0.1,0.09132666636877207,0.05965894356616687
FDX,2.11,223.86,1.33,42.27,-4.55,1.71,14.68,2.693647815599035,-0.7543010922203145,-1.4938612760183283,0.6736626688892285,0.22003337456202282,0.8995860252051684,0.1,0.11248391050607076,0.053138583225274275
