Ticker,Price,ATR/Price %,RSI,Debt/Eq,Rel Volume,Change %,ROE %,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BUD,57.67,2.7397260273972606,19.96,0.92,4.29,-13.33,7.31,2.14,-2.246695678337765,-4.601830019258125,4.225719270540491,0.1651014843329905,3.2256176998333603,0.1,0.10632771542695175,0.18904993209864931
SNY,45.64,2.322524101665206,31.82,0.23,4.66,-7.33,7.34,2.11,-1.315908567241521,-2.3546445219060597,4.751088092751244,-0.3015680101957425,2.265068000771476,0.1,0.12542767981613023,0.13275316283352268
PANW,173.6,3.951612903225807,30.75,0.1,5.37,-5.15,21.16,5.54,-1.3998834583775226,-1.5381671245348094,5.759228265101607,1.5206816024653662,2.0280951967931005,0.1,0.07371896400862185,0.11886444548687218
NVO,47.07,6.543445931591248,21.35,0.86,4.16,-5.92,87.53,12.03,-2.1376068010676317,-1.8265559300283243,4.041130224898875,4.419827878283347,1.7537002130350252,0.1,0.044519174214077736,0.10278245503575517
DXCM,80.77,2.9466386034418717,38.08,1.0,2.65,-9.31,22.83,3.51,-0.824616213492576,-3.0962157360322413,1.8970574639847242,0.3965476530076568,1.712047909829865,0.1,0.0988613972031184,0.10034125901519307
QCOM,146.76,2.7527936767511587,34.59,0.54,2.94,-7.73,44.62,8.31,-1.098515624767946,-2.5044568883961977,2.3088330273390976,0.1797185628806551,1.7048351287872043,0.1,0.10582297244038681,0.09991852579221135
CTSH,71.76,2.2157190635451505,29.08,0.08,2.9,-2.41,16.69,3.49,-1.530947073515021,-0.511952414077366,2.252036397910908,-0.42103690541992117,1.2075257907815091,0.1,0.1314737117091076,0.07077176838606929
UNH,249.56,3.9269113640006412,27.56,0.83,1.52,-6.19,24.33,19.32,-1.6502385076521449,-1.9276792774091671,0.2925526826383724,1.4930512054961702,1.1614766407495167,0.1,0.07418268007254705,0.06807287797286303
CP,73.55,2.2705642420122367,29.3,0.48,2.13,-2.85,9.1,2.9,-1.5136812080478055,-0.6767460172165175,1.1587012814182613,-0.3596887424945869,1.034358659375624,0.1,0.12829798162008535,0.06062263185457898
BRO,91.37,2.6157382072890445,20.48,0.67,1.72,-1.69,11.27,3.4,-2.2058854508698014,-0.2422901543951181,0.5765358297793196,0.02641244727715061,0.9695273830708706,0.1,0.11136772348897327,0.05682294152428485
