Ticker,ATR/Price %,Change %,RSI,Price,ROE %,Debt/Eq,"Avg Volume, M",Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FLR,6.6875905359729595,-27.04,26.21,41.42,66.58,0.3,3.74,6.83,-1.6646186503685376,-9.276309954727735,9.93574655953218,4.151527677543042,5.4013215559358265,0.1,0.0500534628279728,0.31841367983196583
AMZN,2.421420256111758,-8.27,39.45,214.75,24.77,0.4,42.29,2.88,-0.5265785339001117,-2.557983445909021,2.993399676016744,-0.3097325746447519,1.7092498856010205,0.1,0.13823997030508683,0.10076210797494202
BUD,2.7845884413309987,-0.99,19.3,57.1,8.97,0.94,2.25,3.3,-2.2585655691598383,0.0477393555933883,3.7315732686943344,0.07004312189178805,1.5130995162979457,0.1,0.12021060611061972,0.08919883401626545
LYB,4.642456008985398,-7.79,33.77,53.42,7.19,1.04,4.07,2.59,-1.0148011820527294,-2.386177546908862,2.4837083858345976,2.0128701048023365,1.4857972218232427,0.1,0.07210344344742245,0.0875893345703396
ACN,2.4865880878724984,-4.39,23.91,255.37,27.27,0.27,3.36,1.8,-1.8623144409937176,-1.1692190956577369,1.0952390091315107,-0.24158464840564461,1.3042430044948756,0.1,0.13461701434732726,0.07688651937412011
MSTR,4.811390229932084,-8.77,35.66,366.63,18.01,0.16,12.24,1.77,-0.852346814973778,-2.7369479240341867,1.0425123239402543,2.189529608690747,1.2458026625717638,0.1,0.0695717969867828,0.07344139874397974
UNH,4.336123144214998,-4.72,24.37,237.77,24.33,0.83,19.48,2.04,-1.8227752828686814,-1.2873356512203462,1.5170524906615626,1.6925287813464271,1.2226964469288293,0.1,0.07719731501343818,0.07207926263087013
ILMN,4.35241918444961,-7.84,42.41,94.66,68.11,1.12,2.3,2.08,-0.2721526468346636,-2.404073994721379,1.587354737583238,1.709570031882046,1.083193268873058,0.1,0.07690827792896855,0.0638554011530848
LULU,3.6104070759840687,-3.59,21.61,193.33,42.49,0.4,3.11,1.5,-2.060010231618897,-0.8828759306574722,0.5679721572189458,0.9336260566108397,1.0502419825794345,0.1,0.09271449375546877,0.061912887600560074
PAYX,1.9879431606143245,-3.46,36.08,139.34,41.8,1.22,2.11,2.01,-0.8162458445117885,-0.8363451663449292,1.4643258054703057,-0.7630323750548352,0.9475752523993959,0.1,0.1683836192769128,0.055860574103872185
