Ticker,ATR/Price %,"Avg Volume, M",Price,Rel Volume,Debt/Eq,RSI,ROE %,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ON,6.191369606003753,9.93,47.97,3.07,0.42,32.35,5.72,-15.58,-1.2855630055620353,-7.913238471618147,5.37272489660136,3.7499153721947733,3.919133959113858,0.1,0.044789171634405496,0.23553577424572453
BRK-B,1.5312234540741871,4.85,459.11,2.23,0.19,29.04,9.91,-2.9,-1.5479130121972686,-1.8987187130174839,3.2290076628574176,-1.2049969823196813,1.9726223346286147,0.1,0.18110114183367793,0.11855250004932565
ADBE,2.3078058137819095,3.57,338.85,1.8,0.57,23.46,52.25,-2.57,-1.9901828119025862,-1.7421894133062679,2.13162860272659,-0.3792937955600702,1.7705853789244237,0.1,0.12016016004436213,0.1064102943262032
DXCM,3.265573770491804,3.57,76.25,1.83,1.0,30.45,22.83,-3.82,-1.4361566649599034,-2.335103427363904,2.208189932503159,0.6390554421553499,1.6976734745984294,0.1,0.08491809875530099,0.10202836657984052
FLR,6.776694173543385,4.08,39.99,1.83,0.18,24.65,102.24,-3.45,-1.8958636252270795,-2.1596008792028436,2.208189932503159,4.372263220641992,1.4238242409869057,0.1,0.040920588834887056,0.08557031948622378
CHD,1.9453551912568305,2.37,91.5,1.22,0.55,30.97,12.07,-2.67,-1.394941558177329,-1.7896225344308785,0.651442893712915,-0.7646703500501819,1.3213530461604739,0.1,0.14254790959597718,0.07941190988269357
PANW,3.941520467836258,6.11,171.0,1.83,0.1,29.3,21.16,-1.09,-1.5273054588059813,-1.0401792206620266,2.208189932503159,1.3577575026644382,1.2044818740479908,0.1,0.07035516324175631,0.07238807699060659
AMZN,2.485235057878573,43.05,211.65,1.8,0.46,36.83,24.77,-1.44,-0.93047900866601,-1.2061951445981647,2.13162860272659,-0.19064169647028056,1.1932258438348071,0.1,0.11158152427322335,0.0717116015705638
ATI,4.257006874669488,2.03,75.64,1.45,1.08,27.37,26.95,-1.41,-1.680276912825921,-1.1919652082607815,1.2384130886666136,1.6931992343045685,1.0836474366832114,0.1,0.06514114825263785,0.06512605608058518
INFY,2.0024271844660197,12.15,16.48,1.51,0.09,27.22,30.46,0.43,-1.6921658859362791,-0.3191957795679409,1.3915357482197523,-0.7039884068171598,1.0526825732521434,0.1,0.13848509353377159,0.0632651007882331
