Ticker,"Avg Volume, M",Rel Volume,ATR/Price %,ROE %,Change %,Price,Debt/Eq,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FIS,3.0,3.9,2.6585433397950706,5.25,-8.54,72.22,0.8,26.58,-1.7630015510439812,-4.462529546039415,5.729889511773026,0.060615102820353185,3.318852276051759,0.1,0.10172634640653379,0.1929740043978957
ETN,2.18,3.24,2.8278860990321224,20.84,-7.36,356.45,0.58,41.16,-0.591803494018374,-3.845689777471959,4.412367594073505,0.2525464044459424,2.410341523391723,0.1,0.0956346512023024,0.14014882768110618
ACN,3.44,2.76,2.6955923422511843,27.27,-4.53,247.07,0.27,23.33,-2.024071076787001,-2.366319824043225,3.4541698357465775,0.10260605240313111,2.2172101771995814,0.1,0.10032819001664003,0.1289192440330533
BALL,2.53,2.22,2.4309392265193375,8.23,-5.75,54.3,1.28,32.0,-1.3276179111894686,-3.0040694152739866,2.3761973576287865,-0.19734900449172071,2.0110649362371387,0.1,0.1112507864328649,0.11693297006625404
ZTS,3.2,2.29,2.8401313988502603,51.85,-3.75,146.12,1.45,38.23,-0.8271677126113115,-1.9585782821088036,2.5159345307181296,0.2664250984242355,1.4515554944532425,0.1,0.09522231993571054,0.08440040504111947
INFY,12.3,1.83,2.037037037037037,30.46,-1.7,16.2,0.09,24.72,-1.9124136488538324,-0.8869498706144912,1.597661678988159,-0.6437936017164352,1.3636889277831885,0.1,0.13276336944474487,0.07929142102716796
CTSH,3.56,1.51,2.303290414878398,16.69,-1.91,69.9,0.08,27.12,-1.7196238452282178,-0.9967264395968353,0.958863173436875,-0.3420248245833819,1.1766977168344817,0.1,0.11741632708311978,0.0684188543195858
NVO,13.05,1.64,5.887335874629394,87.53,-3.26,47.22,0.86,24.19,-1.9549880638211554,-1.7024329544833336,1.2183750663170838,3.7200945909409597,1.1517629105758918,0.1,0.045936550331061414,0.06696902497727773
APTV,2.32,3.06,3.1491200987959247,15.52,-0.12,64.78,0.94,38.3,-0.8215446766722311,-0.06101187541399674,4.053043434700906,0.616629640002263,1.0578405161701347,0.1,0.08587919553280347,0.06150792606609654
MDLZ,7.34,1.23,2.375601926163724,13.51,-1.94,62.3,0.82,27.93,-1.654557286504573,-1.012408806594313,0.39991448107950156,-0.26006771849845006,1.0394278006503552,0.1,0.1138422636142188,0.060437322390443304
