Ticker,Price,ATR/Price %,"Avg Volume, M",Rel Volume,Change %,RSI,Debt/Eq,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
MOS,30.93,4.073714839961203,5.18,3.47,-13.31,26.61,0.35,7.8,-1.7657346032746455,-5.668994543202159,4.54890281517416,1.6842625921243333,3.34350950508928,0.1,0.06932049324667841,0.20054774162956093
EMR,133.93,2.7402374374673335,3.1,4.15,-4.72,36.54,0.78,9.82,-0.9765556168208709,-2.036925384393291,5.817674782227878,0.1523650428284975,2.2030168025876824,0.1,0.10305381504218301,0.1321396107468636
TECH,49.87,4.7924603970322845,2.38,2.8,-8.73,38.06,0.21,6.53,-0.8557548051985405,-3.73245475887799,3.298789259400643,2.5099567924049584,2.014635520066418,0.1,0.05892420566006021,0.12084027371270402
KMI,26.75,2.4299065420560746,13.93,2.79,-4.6,38.13,1.06,8.86,-0.8501916099264596,-1.986186350742876,3.280130848120441,-0.2041427894468796,1.6691727348030436,0.1,0.11621513715234379,0.10011899826958913
NVO,45.38,6.037902159541648,13.25,2.81,-3.9,22.72,0.86,87.53,-2.0748893119660035,-1.6902086544487893,3.317447670680845,3.940719083697369,1.5872019140116094,0.1,0.04676987380561681,0.0952022893551323
BALL,52.55,2.6831588962892483,2.57,1.85,-3.22,26.66,1.42,9.59,-1.761760892366016,-1.402687463763105,1.5262401877814782,0.08679326997013279,1.4041256352044744,0.1,0.10524606740322616,0.08422115285624432
DIS,115.17,1.9102196752626552,9.68,2.26,-2.66,37.8,0.41,8.75,-0.8764181019234132,-1.1659053067278353,2.2912350502697487,-0.801158559007872,1.253176058982674,0.1,0.14783217119444403,0.0751670148120299
ACN,247.54,2.6137189949099136,3.55,2.27,0.19,23.91,0.27,27.27,-1.9803149923406262,0.039146742469518665,2.309893461549951,0.007020778477284636,1.1406855019171493,0.1,0.10804218915742979,0.06841969522469116
EQNR,24.75,2.747474747474748,3.9,2.54,-1.67,40.74,0.82,19.22,-0.6427639004960113,-0.7473082791119124,2.813670566115398,0.16067925755993404,1.0331914503298594,0.1,0.10278235398231612,0.06197207207553343
INFY,16.07,1.9912881144990666,12.57,1.35,-0.8,23.63,0.09,30.46,-2.00256777342895,-0.37945028514640433,0.5933196237713912,-0.7080272144802185,1.023172966703674,0.1,0.14181369335570176,0.06137115131765134
