Ticker,Price,Change %,Debt/Eq,RSI,ROE %,"Avg Volume, M",Rel Volume,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FTNT,75.3,-22.03,0.48,16.78,165.17,4.65,10.19,6.0690571049136794,-2.4747600730432247,-8.012258549141363,12.00527715631631,3.9248629435136158,5.679025654676505,0.1,0.04323343373646612,0.35909747799580893
CF,82.89,-7.8,0.67,30.39,24.98,2.78,2.71,3.6313186150319696,-1.434073070870478,-2.8614587593672525,2.2205860409358786,1.1277230589153713,1.8347810428788445,0.1,0.07225644621266715,0.11601730388904966
ACN,241.72,-2.35,0.27,21.75,27.27,3.63,1.99,2.8255833195432736,-2.094729624784698,-0.8887350169730924,1.2787441153912378,0.20319635484329254,1.2796418122091449,0.1,0.09286088871395465,0.08091461025957734
CRM,240.88,-3.33,0.2,28.2,10.31,7.38,1.35,2.507472600464962,-1.6015311557167908,-1.2434633229448864,0.4415512926848907,-0.16181415951066913,1.100239742019632,0.1,0.10464169304959108,0.06957061661178832
PANW,168.1,-2.77,0.1,30.44,21.16,6.41,2.27,3.896490184414039,-1.4302498269242152,-1.040761433818147,1.6450159753252647,1.431989482922193,1.0506581880326604,0.1,0.06733910924186572,0.06643546419754047
AIG,76.6,-3.11,0.21,33.35,6.13,4.09,1.46,2.0234986945169715,-1.2077370292517178,-1.16383043793081,0.585443809087544,-0.7171414520200531,1.0188515205333988,0.1,0.12966955644651335,0.06442425756158687
CTSH,69.12,-2.5,0.08,28.52,16.69,3.64,1.39,2.445023148148148,-1.5770623944607087,-0.9430301658463262,0.4938758441040372,-0.233470678276615,1.0041546327559312,0.1,0.10731439429800281,0.06349494051739812
INFY,16.02,-0.31,0.09,23.2,30.46,12.71,1.54,1.9975031210986267,-1.9838555503430755,-0.15032099229711324,0.6900929119258374,-0.7469696126423939,0.959677333573473,0.1,0.1313570804554248,0.06068254153636277
MFC,30.07,-3.81,0.27,40.82,11.57,2.18,1.56,1.9288327236448286,-0.6365443836800487,-1.4172077993392345,0.7162551876354109,-0.8257642448010521,0.9446407260639365,0.1,0.13603366169166556,0.05973174325464679
MET,73.82,-2.8,0.73,38.13,15.61,2.93,1.92,2.2758060146301817,-0.8422349079889896,-1.0516204635927937,1.187176150407731,-0.4276358831519983,0.9430481984503702,0.1,0.11529373615384886,0.059631044176240725
