Ticker,Price,RSI,"Avg Volume, M",Rel Volume,ATR/Price %,ROE %,Change %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
WDAY,213.69,32.54,2.43,2.1,2.948195984837849,5.7,-3.77,0.38,-1.2087947246828514,-2.2572532271891133,3.121840578507502,0.06550388972610664,1.8309345098840775,0.1,0.12873241654246906,0.129674446841417
TRU,86.0,35.1,2.19,1.77,3.569767441860465,9.06,-4.69,1.15,-1.0176613962613676,-2.8671548516222938,2.255542717391232,0.6352540164615692,1.7472688285913711,0.1,0.10631740015287411,0.1237488930421558
CRM,232.68,23.51,7.53,1.41,2.6989857314767063,10.31,-3.26,0.2,-1.882987676107068,-1.919155587557676,1.3104905052643923,-0.16292933678725582,1.6091411770142645,0.1,0.14061889588476187,0.11396611451290119
DOCS,61.83,54.59,2.42,1.18,3.8816108685104314,24.25,-7.13,0.01,0.4374903892600045,-4.484720029466816,0.7067071475166893,0.9210985961121674,1.4657619439645053,0.1,0.09777600239320869,0.10381139699902829
TTD,53.17,24.24,12.47,3.01,10.137295467368816,16.36,-1.95,0.13,-1.8284848129243798,-1.0507087092886909,5.510722559161457,6.6552375317856,1.444338491428306,0.1,0.037438821309949376,0.10229409840529492
FTNT,74.57,16.8,5.31,2.53,5.927316615260829,165.17,0.24,0.48,-2.3839660486493157,0.4011223314815973,4.250652942992337,2.796250833728663,1.2645008062343026,0.1,0.06403038983809706,0.08955724068434358
ONON,45.72,32.36,5.5,2.8,3.674540682414698,15.84,0.13,0.27,-1.2222337868374868,0.3281993111689344,4.9594421020874675,0.7312921572253069,1.2316712711789561,0.1,0.1032859413927012,0.08723211557725688
FANG,136.84,39.08,2.26,1.35,3.390821397252265,13.55,-3.65,0.39,-0.7205087997310928,-2.177700841393481,1.1529818032432528,0.47122696785366974,1.1978470382568842,0.1,0.1119281581378865,0.0848365418031394
ABNB,118.3,27.37,4.98,1.3,3.2206255283178358,33.26,-2.25,0.29,-1.5947944543465502,-1.2495896737777716,1.0217245515589695,0.3152205798516622,1.1683572971701404,0.1,0.11784306813441059,0.0827479548863074
PINS,34.19,34.38,11.04,1.6,4.124012869260017,48.08,-2.68,0.03,-1.0714176448799098,-1.5346523895454538,1.8092680616646692,1.1432911840883897,1.1596490059729723,0.1,0.09202890621364151,0.08213119724815558
