Ticker,RSI,Rel Volume,Price,"Avg Volume, M",Change %,Debt/Eq,ROE %,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
MOS,32.49,1.7,31.19,5.28,-4.03,0.37,7.8,3.815325424815646,-1.4965606467840618,-2.5902710272545324,1.7595372168621277,0.9715647189405552,1.6851420573918778,0.1,0.05649003839892765,0.1299075800701834
PAYX,31.17,1.41,134.99,2.21,-2.6,1.22,41.8,1.9038447292392027,-1.5964990827447743,-1.9386317975907665,1.0988005740863747,-0.8737416068805752,1.5444300836227718,0.1,0.11320664781227621,0.11906009577705785
CRM,23.0,1.68,231.66,7.63,-0.44,0.2,10.31,2.7410860744194077,-2.2150574325925185,-0.9543375765601829,1.7139691725327655,-0.06548507879980855,1.4586305955899794,0.1,0.07862864350142378,0.11244581432066149
CTSH,29.02,1.66,68.77,3.67,-0.55,0.08,16.69,2.3993020212301874,-1.759277595862602,-1.0044636711497033,1.668401128203403,-0.39543676331036304,1.3405333454260238,0.1,0.08982940782158545,0.10334169878663511
ACN,20.38,1.25,237.87,3.76,-0.31,0.27,27.27,2.7325850254340605,-2.413420085787266,-0.8950976465907495,0.7342562194514765,-0.07369182632547257,1.312201632855148,0.1,0.07887325654871619,0.1011576074198676
INFY,25.79,1.4,16.07,13.15,0.56,0.09,30.46,1.8668326073428747,-2.0038239202210124,-0.49864580756454224,1.0760165519216933,-0.9094723902598758,1.1820149541352702,0.1,0.11545110092061699,0.09112151799008437
CME,46.07,1.17,275.88,2.35,-3.45,0.14,13.62,1.9754965927214732,-0.4684061313700639,-2.325969801237061,0.5519840421340272,-0.8045702899812265,1.1688854138374216,0.1,0.10910060819458384,0.09010936189318695
CTVA,42.34,1.34,71.03,4.1,-1.97,0.14,5.75,1.8442911445867942,-0.7508079238954107,-1.6515459831235129,0.939312418933607,-0.9312334804520593,1.1218096992885505,0.1,0.11686217785344781,0.08648029564901308
ICE,46.63,1.54,182.74,2.5,-1.72,0.69,10.89,1.4939257962131989,-0.42600800702309477,-1.5376230408746028,1.3949928622272296,-1.2694693806097357,1.0932163772706136,0.1,0.1442694679337893,0.08427603681325258
MDLZ,26.77,0.98,61.39,7.53,-0.28,0.82,13.51,2.2153445186512464,-1.9296272026138166,-0.8814268935208803,0.11908762100508564,-0.5730257622349935,1.0649890340716603,0.1,0.0972886510146328,0.08209999128005761
