Ticker,Price,RSI,"Avg Volume, M",ROE %,Change %,Rel Volume,Debt/Eq,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CAVA,70.45,31.97,4.04,20.9,-16.63,10.26,0.58,6.572036905606812,-1.9855311340059665,-7.312252656558466,13.44668269183641,3.6339806932260066,5.580162795742233,0.1,0.04230643075966718,0.34396608416665875
CART,45.11,40.0,3.8,14.54,-11.51,4.54,0.01,4.234094435823542,-1.2788557527897328,-5.19359872630102,5.088233598971898,1.3741781837092533,3.1455879691052178,0.1,0.065666798063032,0.19389677608697042
ONON,48.19,44.98,5.86,9.66,-3.25,2.45,0.39,4.274745797883379,-0.8405938102670878,-1.7756140653778725,2.034184891963711,1.4134708742631867,1.1811626474421595,0.1,0.06504232940230081,0.07280789207702011
FTNT,79.33,27.37,5.58,165.17,1.1,2.53,0.48,5.357367956636834,-2.3903514021995744,0.02441417614945112,2.1510862778778996,2.459909057764039,1.0123043789167192,0.1,0.051898511834078925,0.0623993216589357
APO,140.95,44.52,2.9,18.82,-2.52,1.91,0.63,3.5118836466832213,-0.8810758370864481,-1.4735403604778847,1.245100537042935,0.6761055087855347,1.0055252256775502,0.1,0.07917102394882151,0.06198144876185429
SCHW,95.59,51.0,7.98,15.59,-3.14,1.56,0.76,1.945810231195732,-0.3108072853702351,-1.7300961098449974,0.7336569736683585,-0.8376257656774219,0.9448101596267452,0.1,0.14289133639007143,0.05823891932609119
INFY,16.38,34.99,13.19,30.46,1.93,2.09,0.09,1.8315018315018317,-1.7197578274962495,0.3678678406247794,1.5081286553498603,-0.9481136890654879,0.8695985953815355,0.1,0.15180952566617942,0.05360281314345198
ICE,181.41,43.12,2.48,10.89,-0.73,1.5,0.69,1.5324403285375667,-1.004282005667112,-0.7328390840792849,0.6459809342327167,-1.237179798960462,0.8609065481538285,0.1,0.18143572648102363,0.05306702779851773
GE,268.86,52.97,6.49,40.2,-3.85,1.17,1.05,2.5068809045599942,-0.1374386052960161,-2.023893822829917,0.16376271733668707,-0.295307495629335,0.8187496428743475,0.1,0.11091050388204748,0.05046843952065744
ETN,357.49,43.0,2.3,20.76,-1.6,1.2,0.62,2.553917592100478,-1.014842534402597,-1.0928447323847497,0.20760073705450796,-0.24984289334885432,0.8041949801213584,0.1,0.10886781357277761,0.049571277459842314
