Ticker,ATR/Price %,Rel Volume,RSI,Change %,Debt/Eq,"Avg Volume, M",Price,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ONON,5.021488351051798,2.5,35.57,-8.26,0.39,5.85,44.21,9.66,-1.5233689088085827,-5.1914004671126825,4.381568093876682,2.066402220631377,3.0198426782846415,0.1,0.08834512613540614,0.16605024611175687
TTD,9.613869188337274,2.73,24.15,-6.62,0.13,12.26,50.76,16.36,-2.528657493826793,-4.065685039367514,4.997603798244028,6.3528372279571865,2.6722569234710942,0.1,0.04614417078810585,0.14693776036977937
BIRK,3.1811609171658755,2.68,44.56,-3.62,0.5,2.21,48.41,9.35,-0.7319902416182397,-2.0064495008092784,4.863682992946779,0.34867796886538066,1.8963227115524488,0.1,0.1394534993081621,0.10427193947052302
FTNT,5.3462783171521036,2.06,25.74,-2.62,0.48,5.71,77.25,165.17,-2.3886917451246084,-1.3200376546231998,3.203065007260892,2.3695545788629357,1.7017128334776177,0.1,0.08297810092263523,0.09357104488999454
JD,2.5015832805573153,2.52,45.83,-2.86,0.37,9.72,31.58,19.81,-0.6201937002020292,-1.4847764977078584,4.435136415995582,-0.2856259956717816,1.6523294520347551,0.1,0.17733729882553056,0.09085563103701992
CAVA,6.60089946322356,2.64,30.81,-2.16,0.58,4.65,68.93,20.9,-1.9423858671874517,-1.0042882053776037,4.75654634870898,3.540592476632479,1.6285859474763176,0.1,0.06720660180218821,0.0895500614443272
YMM,4.456824512534819,1.35,37.74,-4.69,0.0,8.74,10.77,10.3,-1.3323464719005687,-2.740910176228383,1.3013895720399566,1.5393564614602309,1.5319820951071015,0.1,0.09953813988265661,0.08423816437876087
LI,4.126315789473685,1.0,34.2,-4.62,0.23,4.7,23.75,12.22,-1.64396832750166,-2.692861346995357,0.3639439349592137,1.2308663316230892,1.4675925399034897,0.1,0.10751092364109348,0.0806976152086102
CART,4.443938012762079,1.82,37.03,-2.74,0.01,4.01,43.88,14.54,-1.3948469005663244,-1.4024070761655294,2.560245141834097,1.5273284642829712,1.3383550737946712,0.1,0.09982677987117428,0.07359131354311449
MSTR,4.83992063066445,1.29,41.15,-4.35,0.16,11.73,372.94,18.01,-1.0321683567594044,-2.5075301485251154,1.1406846056832578,1.8969305978622364,1.2773383382000096,0.1,0.09165935882304761,0.07023622354611347
