Ticker,ATR/Price %,Debt/Eq,ROE %,"Avg Volume, M",Rel Volume,RSI,Change %,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PLTR,4.589540412044374,0.04,15.3,72.87,1.84,43.79,-9.35,157.75,-0.7714443354361128,-4.437564718692629,2.505560945009051,1.739776489669239,2.150287708979946,0.1,0.07508532900335427,0.14157683068289062
MSTR,5.380752889443503,0.16,18.01,11.74,1.55,31.72,-7.43,336.57,-1.9387437212853778,-3.4823827216376544,1.7432045725232694,2.484967916108095,1.9975383779169054,0.1,0.06404441142216856,0.13151968061384442
FTNT,5.019848892303752,0.48,165.17,6.05,2.48,30.61,-3.31,78.09,-2.046092712030422,-1.4327213529571883,4.188002594632845,2.145055980795696,1.8406798435926628,0.1,0.06864890940061581,0.12119197699425553
CRDO,6.453433678269051,0.02,8.54,5.11,1.05,47.3,-10.48,106.3,-0.4319894187558379,-4.999729123209359,0.4287970337546804,3.4952559865971957,1.6373352977790352,0.1,0.05339903824733703,0.10780359356411347
MFC,1.644195988161789,0.27,11.57,2.26,3.35,46.4,-0.75,30.41,-0.5190291409815493,-0.1591453568838891,6.475071712090189,-1.0342513161126952,1.6358005482822109,0.1,0.209590069732388,0.10770254430975316
MDT,1.846496106785317,0.62,9.49,7.89,2.43,45.67,-3.14,89.9,-0.5896280267868483,-1.3481479469679458,4.056561840755987,-0.8437180291992112,1.5739057618852965,0.1,0.1866276081201658,0.10362733723059138
ARM,4.208641146183121,0.06,11.03,4.77,0.99,36.77,-5.0,134.01,-1.4503541687966626,-2.2734805066149524,0.2710681291024496,1.3810323149189776,1.2194525307226574,0.1,0.08188085889077791,0.08028982528567961
COIN,6.180686595822161,0.39,27.96,13.54,0.75,36.18,-5.82,302.07,-1.5074135422557404,-2.681422817857181,-0.35984748950647316,3.238373299289542,1.0702858982092736,0.1,0.05575548063632273,0.07046856323470388
PBR-A,2.2914757103574703,0.93,19.48,6.19,1.18,36.72,-2.42,10.91,-1.4551897089203136,-0.9899546980723304,0.7705429938345133,-0.42462076393344156,1.052371217607672,0.1,0.1503865610509933,0.06928904493504612
SMCI,6.313598519888991,0.75,17.9,39.96,0.71,36.39,-5.71,43.24,-1.4871042737364075,-2.6266988492759062,-0.4650000926079604,3.363554371523987,1.0104756373803192,0.1,0.05458173349587661,0.06653060314912196
