Ticker,ATR/Price %,Rel Volume,Debt/Eq,"Avg Volume, M",Change %,Price,RSI,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
KDP,2.604501607717042,4.34,0.71,9.85,-11.48,31.1,28.04,6.18,-2.5180726416523624,-7.228565065738142,8.916321645317833,-0.059080649555718165,5.200495591605814,0.1,0.11451804820834789,0.30136683247125606
DXCM,3.1595576619273307,1.88,1.0,3.46,-7.66,75.96,36.75,22.83,-1.6921150865756658,-4.700373878573394,2.732886735381916,0.48640108185788594,2.7353083766927657,0.1,0.09440006247245371,0.158510127889841
CAVA,5.683728036669213,1.05,0.58,4.64,-4.49,65.45,29.73,20.9,-2.3578122205180776,-2.602372291318879,0.6466058511352452,2.9670313100176515,1.5686826183682185,0.1,0.05247655038154289,0.09090458851910502
JHX,7.319535588086826,1.32,1.16,8.06,-3.41,19.81,28.71,15.8,-2.454537445108001,-1.8875957253141862,1.3252755363721143,4.5746223427400325,1.327339482648185,0.1,0.04074882034274246,0.07691884137838523
FTNT,4.662545079855745,1.12,0.48,6.49,-2.97,77.64,33.97,165.17,-1.9557387379089857,-1.5963904576826446,0.8225572510114706,1.9634630340798216,1.2114103652513826,0.1,0.06396987815943815,0.07020079109151346
MSTR,5.340909090909091,0.93,0.16,11.71,-4.17,343.2,38.39,18.01,-1.5365960980193187,-2.390586642132303,0.34497487991885895,2.630125747640396,1.1804963602727998,0.1,0.05584488250866141,0.06840933572052268
COST,1.7098918838547972,1.06,0.31,2.15,-1.77,941.58,39.14,32.08,-1.4654746093502575,-0.8021942732329858,0.6717417654032773,-0.9382589909326456,1.0218583610780552,0.1,0.17443350862561788,0.05921632123089102
MDLZ,1.9690122659780502,0.79,0.82,7.38,-2.29,61.96,38.15,13.51,-1.5593549743934183,-1.1463459531611713,-0.006927919833591691,-0.6836082514028384,1.0139705658176719,0.1,0.1514782034753382,0.05875922635773307
CHD,1.8005390835579516,1.05,0.55,2.29,-2.39,92.75,43.49,12.07,-1.0529699750697028,-1.2125289685319762,0.6466058511352452,-0.8491753910569146,1.0071633395933282,0.1,0.16565174474406794,0.058364750068116165
TGT,3.448985895192011,1.17,1.3,6.51,-2.13,97.13,39.14,26.32,-1.4654746093502575,-1.0404531285678833,0.9482368223516311,0.7708368836181614,0.9896383843798594,0.1,0.08647830108178944,0.05734918527263619
