Ticker,Change %,ROE %,Price,RSI,Rel Volume,"Avg Volume, M",ATR/Price %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
KDP,-6.91,6.18,28.95,21.2,6.09,10.39,3.143350604490501,0.71,-3.2456379531847457,-5.26904516135865,6.211502708719304,0.546209503514029,4.167818681482647,0.1,0.07245160859102756,0.24886957865596157
LKQ,-0.73,11.2,31.47,45.71,9.69,2.74,2.9234191293295204,0.91,-0.8777049018195588,-0.6626027308119098,10.675108036710512,0.3188585854059339,2.642243420222523,0.1,0.07790220888140234,0.157774139652194
CAG,-1.93,13.27,18.79,40.57,5.48,10.04,2.394890899414582,0.93,-1.3742849052474275,-1.5570575716947719,5.455169583698573,-0.22749967563539464,2.139753751233024,0.1,0.09509443946552457,0.1277693813463687
IBN,-1.45,17.47,31.86,33.04,1.32,4.12,1.1927181418706843,0.65,-2.101764949179694,-1.199275635341627,0.2972256491309547,-1.4702280297833865,1.361832137386992,0.1,0.19094268768623088,0.08131797857172673
HMY,-3.88,25.19,15.11,49.31,1.69,4.02,3.7723362011912642,0.05,-0.5299056776288337,-3.010546688129423,0.7559850856189398,1.196414085564034,1.2707139365827742,0.1,0.06037129129397255,0.07587711130396736
BF-B,-3.83,23.14,29.85,47.13,0.91,4.97,2.8810720268006698,0.7,-0.7405174300554394,-2.973277736425971,-0.21112940211248843,0.275082892853948,1.230094138560601,0.1,0.07904724544974806,0.07345161422949474
PAA,-0.63,8.34,17.37,33.45,1.35,2.97,2.0149683362118593,0.91,-2.0621544819801945,-0.5880648274050047,0.3344223601975482,-0.6202390208832558,1.056485132412655,0.1,0.11302450940200301,0.06308504036607764
KVUE,-1.89,13.56,20.79,40.52,0.96,18.78,2.5493025493025496,0.81,-1.379115450027854,-1.52724241033201,-0.14913488366816618,-0.06787891038149324,0.9941861654304684,0.1,0.08933455455227238,0.059365032647785296
TAP,-2.48,7.79,50.33,47.34,1.04,2.55,2.364394993045897,0.49,-0.720229141977647,-1.9670160404327506,-0.049943654157250356,-0.25902436898082964,0.9564495199102719,0.1,0.09632096512246963,0.05711169492169214
EQR,-0.49,9.2,64.48,48.24,2.91,2.05,1.8145161290322578,0.79,-0.6332793359299659,-0.48371176263533733,2.268651335660405,-0.8274535330658297,0.9274225049365201,0.1,0.1255104895553491,0.05537842830473171
