Ticker,Debt/Eq,RSI,ROE %,Change %,Rel Volume,"Avg Volume, M",Price,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ELAN,0.62,72.58,6.83,-0.54,12.05,5.92,18.35,2.615803814713896,1.6412084962802997,-0.2559772257306664,13.734325019707086,0.09220854522748548,2.2528132047262974,0.1,0.12732144620647198,0.17567150723710775
SMCI,0.76,35.23,17.9,-5.53,0.98,37.6,41.54,5.416466056812711,-1.875169500709657,-3.009701236824725,0.09816006278273783,2.983407790262063,1.430995991667375,0.1,0.06148804796124942,0.11158724663859076
CLS,0.58,52.97,30.28,-8.28,1.11,3.5,194.75,5.2528883183568675,-0.20500763547265996,-4.527284609672151,0.2582956946165379,2.814542074568485,1.426507217267143,0.1,0.06340281850613544,0.11123721772235318
KDP,0.71,25.96,6.18,-0.68,1.86,11.91,29.09,3.025094534204194,-2.7479090999625853,-0.33323601562108085,1.1821551090423066,0.514730405022765,1.2633587717604677,0.1,0.1100950469203746,0.0985151095309504
AMAT,0.35,34.23,35.64,-2.73,1.0,7.22,160.76,3.0044787260512567,-1.9693161672957333,-1.4645254390164355,0.12279631383409167,0.4934481496791565,1.1770590100081617,0.1,0.1108504852419107,0.09178556391685995
CEG,0.62,39.39,24.2,-3.62,0.9,2.59,307.98,3.4774985388661603,-1.4835193677115783,-1.9556706033197846,-0.00038494142267746386,0.9817592730768756,1.1054635742687537,0.1,0.09577226876143272,0.08620264293554968
VRT,1.02,44.63,34.84,-4.98,0.91,7.02,127.55,4.421795374362994,-0.9901908348005374,-2.7061845622552396,0.011933184102999464,1.9565823905660498,1.1004597867335166,0.1,0.0753196148814911,0.08581245395034433
TSM,0.22,44.59,33.29,-3.11,1.4,11.1,230.87,2.486247671849959,-0.9939567014639804,-1.6742278687189889,0.6155213348611682,-0.04153575881865412,1.0611224424181382,0.1,0.13395605291164187,0.08274497789325722
HRL,0.35,26.68,9.46,0.87,2.2,3.52,25.44,3.1839622641509435,-2.6801235000206103,0.5221291581656508,1.600971376915322,0.6787338517711978,1.0076189098551802,0.1,0.10460171856672185,0.07857284050160586
NVDA,0.11,46.23,109.42,-3.32,1.35,179.51,174.18,2.841887702376851,-0.8395561682628155,-1.7901160535546106,0.5539307072327839,0.32560104629386566,0.9986113144532694,0.1,0.11719250004257041,0.07787043967338098
