Ticker,"Avg Volume, M",ROE %,RSI,Change %,ATR/Price %,Price,Rel Volume,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
TGT,6.5,26.32,33.23,-3.69,3.288619645175249,92.44,1.99,1.32,-1.7919417696320163,-1.8204934700886095,2.881117411746965,0.725381988336938,1.7680376174179182,0.1,0.08685256127927357,0.13171442733018474
GEV,2.87,12.88,39.74,-5.43,4.122964394148496,579.68,1.84,0.0,-1.2119862868364424,-2.806379478070692,2.450470615593714,1.5736145540857982,1.73916068542766,0.1,0.06927662040016126,0.12956316735546525
KDP,12.07,6.18,25.37,-0.62,2.9747492217225875,28.91,2.41,0.71,-2.492164518445105,-0.08102792726964707,4.086928440976071,0.4062871358487263,1.677374330610505,0.1,0.09601651028970078,0.1249602368174565
HRL,3.54,9.46,25.06,-1.61,3.2361166600079905,25.03,1.93,0.35,-2.5197814461972756,-0.6419630697422115,2.7088586932856646,0.672005081641351,1.5811818110718183,0.1,0.08826166336540565,0.11779413214883006
ARM,4.62,11.03,38.76,-4.32,4.042617500377815,132.34,1.26,0.06,-1.2992914132787872,-2.177452197116605,0.7853030038011398,1.4919302719746859,1.2247278372011465,0.1,0.0706534910191509,0.09123919317275149
BALL,2.44,9.59,33.18,-3.0,2.350176263219741,51.06,1.0,1.42,-1.79639611281785,-1.4295386738198523,0.03884855713550329,-0.228681950659198,1.1597150818162163,0.1,0.12153345420377107,0.08639590377646067
CARR,4.81,10.79,36.24,-2.61,2.7401574803149606,63.5,1.33,0.81,-1.5237903098448153,-1.2085642237549028,0.9862715086726576,0.16779057317177345,1.1367993311772555,0.1,0.10423672409659306,0.08468873706093566
COO,2.85,5.01,35.73,-3.06,3.7961120465329867,65.33,1.32,0.3,-1.5692246103403213,-1.463534743060614,0.9575617222624407,1.2413216909975793,1.1288459490430578,0.1,0.07524146699454495,0.08409622977329441
NKE,14.75,23.29,43.62,-3.98,2.5710055189123704,74.29,1.02,0.83,-0.866329255615732,-1.9848078047522901,0.09626812995593692,-0.004176952720298758,1.017569292392025,0.1,0.1110946814994143,0.07580639421684657
ED,2.64,8.54,31.2,-1.05,1.6152263374485596,97.2,1.14,1.14,-1.9727881029768726,-0.3246664234951044,0.44078556687853804,-0.9758652486915717,0.9898527225100567,0.1,0.1768328268519845,0.07374157834777473
