Ticker,ROE %,Debt/Eq,RSI,Change %,ATR/Price %,"Avg Volume, M",Rel Volume,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
KDP,6.18,0.71,27.16,0.62,2.8875902371949125,12.23,3.02,29.09,-2.2838813073259256,0.3785471625158309,4.773980844534962,0.3367862598528207,1.5879844936052434,0.1,0.08476965256519298,0.12265442413088247
EQNR,19.22,0.82,37.29,-4.36,2.236286919831224,3.84,1.43,23.7,-1.3842596214212013,-2.327568862685148,1.137843775665801,-0.33791001018610806,1.5604997255889934,0.1,0.10945823587615933,0.12053152657931351
BUD,8.97,0.94,33.18,-2.95,1.8132975151108126,2.41,1.56,59.56,-1.7492591405789917,-1.561379385670413,1.4351380014223993,-0.7760919847322111,1.5233602829449926,0.1,0.13499164870509245,0.11766291106802486
TOST,14.51,0.01,41.16,-3.06,3.745583038869258,7.65,2.01,42.45,-1.0405739427981726,-1.6211530328134063,2.4642333982721616,1.2255957094240428,1.3018915501760806,0.1,0.06535164715812888,0.10055687508961567
BALL,9.59,1.42,30.05,-1.78,2.5124626121635094,2.39,1.48,50.15,-2.027227144219839,-0.9256051387858456,1.2521877086491082,-0.05181487674467604,1.2891103284562788,0.1,0.09742633381790829,0.09956966558219013
APO,18.82,0.63,34.31,-2.36,2.812335067480962,2.96,1.53,132.63,-1.6489064747278228,-1.240775278267084,1.3665316416324151,0.25882813964445034,1.2588121279102553,0.1,0.08703800055265389,0.09722946115630339
COP,15.88,0.36,46.48,-4.38,2.3137876386687797,7.17,1.36,94.65,-0.5681171442776265,-2.338436798529328,0.9777622694891718,-0.25762568715104484,1.2386089025953728,0.1,0.10579191325375403,0.09566898309334858
SU,12.46,0.32,58.77,-1.65,1.7228648781688405,4.27,2.82,40.63,0.5233291064399516,-0.8549635557986714,4.316605112601734,-0.8697727033895408,1.066370350134853,0.1,0.14207731799479373,0.08236543979663834
FANG,13.55,0.39,47.51,-5.05,2.839271909480638,2.19,0.89,142.29,-0.4766452453159417,-2.7025126493093796,-0.09707070055391354,0.28673247597943746,1.0646178754101359,0.1,0.08621225052109618,0.0822300803022417
CARR,10.79,0.81,33.95,-1.62,2.8173523291179765,4.83,1.37,62.47,-1.680877235529965,-0.8386616520324005,1.0006310560858331,0.26402560697197003,1.0555622611667976,0.1,0.08688299955522026,0.08153063320144137
