Ticker,ATR/Price %,Rel Volume,"Avg Volume, M",ROE %,Debt/Eq,RSI,Change %,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
SNY,2.514890800794176,4.05,2.21,8.39,0.32,31.45,-9.14,45.33,-2.0345896111013166,-5.321253013795483,6.5159323923770485,-0.032050778800956685,3.880936475069385,0.1,0.12124753444057815,0.2135504114154051
CRM,2.9425023564608006,4.0,7.69,11.2,0.18,43.75,-4.85,244.01,-0.9525933786974609,-3.0021161307625803,6.411054197972268,0.4173629795542686,2.6246228699500413,0.1,0.10362754963103704,0.14442114610445717
HMY,5.638829407566025,2.05,4.4,32.05,0.04,44.89,-7.22,14.01,-0.8523108010600303,-4.283317625584953,2.320804616185801,3.2511649611283606,1.9365143764500683,0.1,0.0540758173273421,0.10655764258428509
TXN,2.872550589994127,1.76,6.42,29.84,0.86,35.14,-4.32,187.29,-1.7099907413801598,-2.7156027163086325,1.7125110886380703,0.3438446523370217,1.857075462684989,0.1,0.10615106659764989,0.10218647783425597
KDP,2.8376068376068373,2.73,12.59,6.18,0.71,28.79,0.55,29.25,-2.2685822922553216,-0.08292285142046549,3.7471480600908253,0.30711925779775556,1.541744486524915,0.1,0.10745826551529956,0.08483523796635754
CNC,3.7696335078534036,1.56,15.29,7.5,0.64,45.84,-4.69,28.65,-0.7687419863621713,-2.91562151507837,1.2929983110189456,1.2866662396603612,1.4194602637419425,0.1,0.0808896430775899,0.07810648931183338
TOST,3.8919970810021893,1.43,7.76,14.51,0.01,36.39,-3.16,41.11,-1.600031774672451,-2.088516752598104,1.0203150055665142,1.4152686419243525,1.353528121465562,0.1,0.07834648963946987,0.07447854121243339
BMRN,2.7665198237885464,1.1,2.14,11.62,0.1,43.34,-3.78,56.75,-0.988659919777589,-2.42368338837442,0.32811892249495866,0.2324078015076573,1.2367031622014293,0.1,0.1102194556357863,0.0680501911802424
ELV,2.90212627820159,1.2,2.36,12.48,0.69,48.57,-4.21,308.05,-0.5285916030725352,-2.656137668025737,0.5378753113045207,0.3749282865773016,1.1847374784875693,0.1,0.10506927671408656,0.06519075423561187
CMG,2.294131852209611,1.15,16.51,42.59,1.35,31.2,-0.91,41.41,-2.0565814044428588,-0.8721862195388893,0.43299711689973946,-0.26406534309230467,1.1380746260827903,0.1,0.1329149014211606,0.06262310815511818
