Ticker,ROE %,ATR/Price %,Change %,Debt/Eq,Price,Rel Volume,RSI,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
LULU,42.42,5.286054827175208,-18.58,0.4,167.8,9.31,28.37,3.94,-2.175482037512293,-7.885166601958647,10.814319556692059,2.848958386183522,5.399195096534889,0.1,0.04827182559733265,0.2927094211708876
KVUE,13.56,3.5982814178302904,-9.35,0.81,18.62,7.47,24.81,18.1,-2.479861006329504,-3.9944447095884237,8.40257174785648,1.0662255319748741,3.839898796945083,0.1,0.07091371882447212,0.20817446565876652
SCHW,15.59,2.151004888647474,-5.72,0.76,92.05,2.22,36.93,8.2,-1.4436045169855158,-2.4642908125890832,1.521226097646271,-0.4624793305461528,1.7182565179349791,0.1,0.11862712077599523,0.09315274995538449
KDP,6.18,2.8970331588132634,-2.05,0.71,28.65,1.63,26.4,12.96,-2.343916466885862,-0.9172757156228082,0.7478939198131234,0.3255228384826885,1.2584437639923902,0.1,0.0880789078782469,0.0682246777803476
MSFT,33.28,1.6888888888888887,-2.55,0.33,495.0,1.6,37.05,19.94,-1.4333445517444863,-1.1280407152094942,0.7085719446690653,-0.9505954311220365,1.1332587754799097,0.1,0.15108602963408296,0.06143795774678388
FAST,32.57,2.1046051260679306,-4.54,0.14,47.99,1.54,46.54,6.08,-0.6219523005997297,-1.9668854135645044,0.6299279943809486,-0.5114896898278168,1.0832277678164535,0.1,0.12124246660563535,0.05872560025054057
VNOM,16.43,3.0847639484978537,-4.53,0.32,37.28,1.39,44.02,2.03,-0.8374115706613507,-1.9626701135727709,0.43331811866065667,0.5238159533429062,1.0143106178797834,0.1,0.08271865237519894,0.05498935832817395
APO,18.82,2.9114405169137205,-2.38,0.63,131.55,1.5,35.16,3.02,-1.5949390042907023,-1.056380615350021,0.5774986941888707,0.34074079990204925,1.0093875257218226,0.1,0.08764304653760573,0.05472246012757873
RPRX,15.92,2.107014139173829,-2.25,1.26,36.07,2.63,47.63,3.51,-0.528757616327044,-1.0015817154574826,2.058626424615068,-0.5089451380613739,0.9982385648537353,0.1,0.12110384642003047,0.0541180356117006
OKE,16.05,2.3130937629078896,-2.35,1.49,72.63,1.36,36.5,3.64,-1.4803693924325385,-1.04373471537482,0.3939961435165986,-0.2912708259887237,0.9913627490347675,0.1,0.11031438535139969,0.053745273369836186
