Ticker,RSI,Price,ROE %,Change %,"Avg Volume, M",ATR/Price %,Rel Volume,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
KDP,22.92,27.63,6.18,-3.56,13.13,3.1487513572204127,2.56,0.71,-2.548060751392143,-2.001915970203547,3.0723366543682733,0.5916474538164285,2.1477944380505036,0.1,0.09382189855239448,0.1515384750076806
CMG,24.26,39.65,42.59,-3.43,16.57,2.6229508196721314,2.11,1.35,-2.4378453182599307,-1.9331383988587492,2.1620771147707876,0.02608323111018667,1.9596514008346766,0.1,0.11262957284146705,0.138263969571826
KVUE,23.86,18.43,13.56,-1.02,19.98,3.6353771025501898,2.81,0.81,-2.4707454475531287,-0.6581080377744118,3.578036398589099,1.115074289189356,1.6991985706635235,0.1,0.08126304976631223,0.1198876184665519
LULU,28.64,168.1,42.42,0.18,4.44,5.187388459250446,3.13,0.4,-2.0775889024994156,-0.02323814843781244,4.2253320711917555,2.7844565623157695,1.301910225834804,0.1,0.05695001111340235,0.09185678420835551
CVS,52.9,70.26,5.95,-4.77,7.29,2.3484201537147738,1.83,1.07,-0.08219606086697301,-2.6420764419512848,1.5956934012434634,-0.26920882664459034,1.299554938899542,0.1,0.12579598669196582,0.09169060601920856
BAM,35.33,56.91,25.92,-2.33,2.23,2.5830258302583027,1.72,0.26,-1.5273342400706837,-1.351174333633533,1.3731855137862998,-0.016861087109179093,1.2838012122646536,0.1,0.1143704514849183,0.09057909568672731
BUD,35.83,59.43,8.97,-1.33,2.46,1.7836109708901229,1.73,0.94,-1.4862090784541864,-0.8221160925197001,1.393413503555133,-0.8767317248733494,1.1742696830392219,0.1,0.16563131491415742,0.08285105588458176
BF-B,37.75,27.59,22.65,-4.57,4.75,3.769481696266763,0.79,0.68,-1.3282884578468372,-2.5362647937285185,-0.5080175347151705,1.2593205477806868,1.1250580763302716,0.1,0.07837200289271314,0.07937891176257678
CELH,47.76,55.64,7.91,-4.68,6.44,4.295470884255931,1.51,0.42,-0.504962722284564,-2.59446120025104,0.9483977286408066,1.825087687624405,1.091969149853182,0.1,0.06877519097769919,0.07704430963811522
TGT,32.82,91.5,26.32,-1.79,6.65,2.8852459016393444,1.39,1.32,-1.7337825513854992,-1.065482883432063,0.7056618514148102,0.30821438838165505,1.0900538336309433,0.1,0.10239052076497004,0.07690917375437628
