Ticker,Change %,RSI,Price,Debt/Eq,"Avg Volume, M",ATR/Price %,Rel Volume,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FOXA,-6.15,49.34,58.64,0.62,3.36,2.472714870395634,1.91,19.96,-0.3147656418664797,-3.379123772576244,2.490024791320258,-0.1222220271859087,1.8030884560375957,0.1,0.1137998397958343,0.13415449302472082
NWSA,-1.74,49.65,29.42,0.34,3.24,2.2093813732155,3.39,5.69,-0.28869777511271516,-0.9297220503435063,6.140683064325005,-0.4150063886983689,1.6960841906445154,0.1,0.12736350524321793,0.12619309605208553
FCX,-5.94,50.31,43.89,0.51,14.02,2.9847345636819322,1.76,10.7,-0.23319844589502176,-3.262485595327066,2.1200256420292365,0.4470612603029106,1.602788416803287,0.1,0.09427791654768637,0.11925164667443058
PINS,-3.82,49.18,36.5,0.03,9.32,3.2328767123287667,2.36,48.08,-0.3282200247071329,-2.084995425002031,3.6000222391933225,0.7229552932834374,1.4923343259085282,0.1,0.08704153642441283,0.11103357366926248
NXT,-7.78,49.21,64.33,0.01,2.47,5.052075237058915,0.9,37.2,-0.3256973279245104,-4.284458195986531,-0.0013028139059542314,2.745610535518635,1.33873281703581,0.1,0.055698805522068046,0.09960522001215158
LULU,-1.43,27.74,165.69,0.4,4.4,5.093849960770112,1.95,42.42,-2.1311073253546184,-0.7575418839280531,2.588691231131197,2.792057288173029,1.2495597406578716,0.1,0.05524201895991019,0.09297051009934651
CARR,-3.26,39.99,63.47,0.81,4.94,2.835985504962975,1.15,10.79,-1.1010061391171322,-1.7739602856708896,0.6153624349124149,0.2816763068162758,1.1011431049766631,0.1,0.09922284709119979,0.08192792455698084
KDP,-0.07,22.85,27.61,0.71,13.55,3.0061571894241212,1.4,6.18,-2.5423069009220716,-0.0021708312667100453,1.2320276837307844,0.47087976371023316,1.0898847666412073,0.1,0.09360606860538323,0.08109027476412875
RIO,-2.9,49.38,61.87,0.41,3.33,1.7294326814288024,1.49,18.18,-0.31140204615631656,-1.574009124672299,1.4540271733053975,-0.9486318969920768,1.0455625341503025,0.1,0.16270916996857088,0.07779258484235536
CMG,-0.48,23.64,39.46,1.35,16.98,2.5342118601115056,1.04,42.59,-2.475875885646348,-0.22989298684843848,0.3440297254323327,-0.053847296809001376,1.021209780140542,0.1,0.11103829184171639,0.0759806763045376
