Ticker,ATR/Price %,Debt/Eq,ROE %,Change %,"Avg Volume, M",Price,Rel Volume,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CHWY,5.012816861293079,1.43,76.24,-16.6,7.36,35.11,4.97,35.24,-1.393102405849796,-6.352579705807554,7.7241812357052835,2.550942359177017,4.000730750303427,0.1,0.06459015891961672,0.2364785725749604
TTD,6.393584742089294,0.13,16.36,-11.95,13.69,46.14,3.51,25.94,-2.1260826049138224,-4.59514875199499,4.863383628189342,4.023546567253885,2.922753043830564,0.1,0.05064117404660378,0.17276055574141103
CNM,5.1276771004942345,1.34,24.42,-2.29,2.22,48.56,2.73,19.74,-2.614736070956506,-0.9442276737521158,3.3350123036260313,2.6734420739667337,1.6452955639765505,0.1,0.06314333593171198,0.0972515199638417
DT,3.273185060847671,0.03,20.69,-5.9,3.01,47.66,2.06,38.9,-1.1046392307342765,-2.308598801335633,2.0221805248344693,0.6956058138606533,1.5295088348052968,0.1,0.09891852482731421,0.09040750017184121
CMG,2.5833118057349522,1.35,42.59,-1.9,17.1,38.71,1.44,21.33,-2.4894201014391086,-0.7968302389162233,0.8073212668482475,-0.04015163867572489,1.315667036361588,0.1,0.1253347106559362,0.07776755851893309
CARR,3.2159999999999993,0.81,10.79,-1.53,4.97,62.5,2.8,37.67,-1.2015817731911314,-0.6569916468924281,3.4721738327535077,0.6346173143346843,1.2814737321464789,0.1,0.10067743709759154,0.07574643181056934
FI,2.270319358256395,1.18,12.66,-3.13,4.96,132.14,0.96,30.57,-1.7611688068851727,-1.2616990718601917,-0.13321493288302094,-0.3739615437753548,1.0687569253618086,0.1,0.14261369728817194,0.06317298711491534
PYPL,2.6051188299817185,0.6,22.92,-3.01,10.76,65.64,1.33,34.0,-1.4908330990583332,-1.2163460149876093,0.5917817210764986,-0.01689420625855104,1.0675584547572345,0.1,0.12428555426322968,0.06310214690208142
ISRG,2.695675363349482,0.0,16.02,-3.76,2.0,449.98,1.28,37.36,-1.2260144464932656,-1.4998026204412487,0.4938092002711581,0.07968533760317605,1.044829279720994,0.1,0.12011039686305056,0.06175865162488263
KDP,2.9518950437317786,0.71,6.18,-0.62,13.71,27.44,1.34,22.29,-2.4137576292776606,-0.3130642989420123,0.6113762252375667,0.35294645902027144,1.0413682740223715,0.1,0.10968501010677335,0.06155407557656397
