Ticker,"Avg Volume, M",Change %,Rel Volume,Price,ATR/Price %,Debt/Eq,ROE %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
EMR,3.08,-4.89,1.97,129.03,2.3870417732310316,0.75,10.86,40.09,-0.9490516342209153,-3.0838069095162997,2.712336130311814,-0.21957295162274015,1.9759250115326619,0.1,0.0846936530273176,0.14421150831485213
BSX,7.15,-0.89,2.92,98.98,2.0812285310163667,0.54,11.71,29.5,-1.7507508303722648,-0.6021686498835888,5.368072976467239,-0.5619519644229539,1.953331609825292,0.1,0.0971384375578465,0.14256254465521614
LNC,2.02,-4.39,1.5,39.44,2.6876267748478706,0.6,12.97,40.73,-0.9006014467292385,-2.773602127062211,1.3984452695822875,0.11695268530139195,1.5539650362133255,0.1,0.07522148893429793,0.11341505392810455
AGI,3.42,-5.44,1.64,31.61,2.942106928187283,0.07,10.18,59.7,0.535492391891262,-3.425032170215798,1.7898170153315078,0.4018607653002144,1.3291162489498676,0.1,0.06871513940123958,0.09700462207225344
OBDC,2.59,-0.07,2.11,13.7,1.4598540145985404,1.2,9.8,32.47,-1.5259116790436995,-0.09343280665888296,3.1037078760610344,-1.2576235840351921,1.31327450361163,0.1,0.1384845920770632,0.09584842334192058
CPRT,6.92,-2.16,1.6,46.57,2.4049817479063775,0.01,18.58,40.29,-0.9339109506297665,-1.3900887973169747,1.677996516546017,-0.19948791287646436,1.168948006378209,0.1,0.0840618802532434,0.08531485464151399
ACGL,2.26,-2.76,1.16,87.38,2.059967956054017,0.12,17.09,38.54,-1.0663919320523219,-1.7623345362618812,0.4479710299056089,-0.5857546441710878,1.1382239343082017,0.1,0.09814098666418315,0.08307247967843116
EW,4.2,-1.26,1.23,75.09,2.064189639099747,0.07,15.71,28.12,-1.8552215471511941,-0.8317201888996145,0.6436569027802194,-0.5810281788843498,1.127263806062262,0.1,0.09794026860434825,0.08227256236555441
BUD,2.45,-1.06,1.25,57.93,1.5535991714137753,0.94,8.97,31.02,-1.6356816350795311,-0.707638275917979,0.6995671521729652,-1.1526694165414528,1.0753423409378668,0.1,0.13012834418530853,0.07848311046034366
AIG,4.26,-0.9,1.34,76.34,1.611212994498297,0.22,7.61,31.71,-1.5834462766900663,-0.6083727455326705,0.9511632744403214,-1.0881667686885577,1.066185989534878,0.1,0.1254752092951517,0.07781484054180986
