Ticker,Change %,Price,"Avg Volume, M",ATR/Price %,Rel Volume,Debt/Eq,ROE %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
NDAQ,-4.54,88.87,3.2,1.8791493192303363,3.07,0.82,13.28,30.94,-1.8412489770664942,-2.520253387359119,4.769101287512238,-0.8055551748403559,2.5609016025354476,0.1,0.1254615985796086,0.17130205937949242
CMCSA,-2.44,31.64,21.3,2.307206068268015,1.83,1.05,25.44,30.36,-1.8868731308629936,-1.5098329790131766,1.8654577533001957,-0.32408430113981607,1.5943471192306802,0.1,0.1021846643015305,0.10664796516179158
ARM,-4.45,146.54,4.62,3.8965470178790778,2.64,0.06,11.03,52.09,-0.17754061017690984,-2.4769496555728643,3.7621926425838685,1.4635790807309066,1.535152213456104,0.1,0.060505128381268154,0.10268834045230626
ICE,-0.65,171.13,2.55,1.5017822707882895,2.32,0.69,10.89,34.68,-1.5470518474132062,-0.6485698690421112,3.012865278916244,-1.2300111445865385,1.4940417710012637,0.1,0.15698752219033027,0.09993840915953658
EW,-0.86,74.55,4.26,2.2132796780684103,1.95,0.07,15.71,26.91,-2.158258183618032,-0.7496119098767055,2.1464555146755546,-0.4297310903905584,1.490018744697325,0.1,0.10652114140684485,0.09966930366554952
CPRT,-2.49,45.46,6.82,2.5296964364276286,1.76,0.01,18.58,34.89,-1.530532757245508,-1.533890607783318,1.701542392497903,-0.07383095929066172,1.420239752188736,0.1,0.09319737900779781,0.09500169554413126
BSX,-0.27,98.23,7.42,2.0563982490074317,1.86,0.54,11.71,27.93,-2.078022602803499,-0.4657318903890359,1.9357071936440355,-0.6061886252552403,1.3380743738717182,0.1,0.11464757746910975,0.08950554586721082
TTD,-3.17,43.93,15.47,5.736398816298657,1.43,0.13,16.36,25.26,-2.288051034935659,-1.8610743590572423,0.9287985487156658,3.5330127594570206,1.2846523216949464,0.1,0.04109914340170358,0.08593207488921645
PAYX,-1.02,131.11,2.46,1.822896804210205,1.49,1.22,41.8,34.86,-1.532892627269465,-0.8265963219411583,1.0692974294033455,-0.8688270368434274,1.1265633217887299,0.1,0.12933320033032145,0.07535729481083801
DXCM,-0.86,75.78,3.99,3.365003958828187,2.31,1.0,22.83,42.29,-0.9484314846694835,-0.7496119098767055,2.9894487988016314,0.8657085842931478,1.1056340894221777,0.1,0.07006264493148517,0.0739573110699271
