Ticker,RSI,Debt/Eq,"Avg Volume, M",Change %,Price,Rel Volume,ATR/Price %,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
DXCM,26.81,1.0,4.06,-10.99,67.45,5.13,4.447739065974796,22.83,-2.058927231167258,-4.997428837266855,2.7741637760423328,2.0939179024944248,2.815165588910964,0.1,0.055535732855645746,0.18494333103248228
TRU,48.72,1.15,2.37,-2.77,89.9,11.22,3.4705228031145716,9.06,-0.35761870296647885,-1.2100597522551715,8.213035396954126,0.9941412623588457,2.0918804124825185,0.1,0.07117326771572322,0.13742684733361735
CART,34.34,0.01,4.34,-8.59,41.5,3.95,4.096385542168675,14.54,-1.4742237525113073,-3.8916276445627136,1.7203265818426758,1.6984983698923954,2.052263468355203,0.1,0.06029912127090127,0.13482419772710952
CTSH,34.11,0.08,3.94,-4.73,66.94,3.7,2.5097101882282637,16.69,-1.4920832213148758,-2.113130726296887,1.4970559898512228,-0.08717441929665462,1.569953521564027,0.1,0.09842110445189363,0.1031386697066544
LEN,41.63,0.2,3.28,-4.18,127.32,5.2,3.400879673264216,13.04,-0.908156241302559,-1.8597179529688543,2.83667954179994,0.9157636398547213,1.4445155123695106,0.1,0.07263075213199563,0.09489797390179718
CPNG,67.88,0.98,11.81,-1.68,32.86,9.45,2.373706634205721,8.55,1.1301526982351149,-0.7078417105687074,6.632279605654638,-0.24023524868934337,1.2026706003166194,0.1,0.10406022590160911,0.07900988411961775
CTRA,38.52,0.3,6.55,-3.36,23.28,2.73,2.2336769759450172,11.42,-1.1496473194725463,-1.4819025454616062,0.6307660929243857,-0.39782712771778095,1.0869783840836085,0.1,0.11058378236409586,0.07140944174104334
VICI,29.86,0.66,6.98,-0.87,31.84,2.77,1.350502512562814,10.45,-1.8220951448590708,-0.33463380803105974,0.6664893876430181,-1.3917674466694225,1.0273297557070915,0.1,0.18290113959940285,0.06749080332526929
OKE,37.72,1.49,3.45,-2.76,71.55,2.51,2.2222222222222223,16.05,-1.2117672109632185,-1.2054522472855707,0.434287971971907,-0.4107185121959349,0.973956256001051,0.1,0.111153801860818,0.06398441177822181
PAYX,32.74,1.22,2.47,-0.85,130.0,3.15,1.853846153846154,41.8,-1.5984635354926515,-0.3254187980918586,1.0058606874700264,-0.8252955205637692,0.9570605063049606,0.1,0.13324107184791462,0.06287443933418707
