Ticker,ROE %,Debt/Eq,Rel Volume,Change %,Price,ATR/Price %,"Avg Volume, M",RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BIDU,10.33,0.33,2.26,-8.09,125.57,4.149080194313929,5.04,66.25,1.0395615858293266,-4.661049738338336,3.2695885897038024,1.5402095538014045,1.7674176159387731,0.1,0.07889189665421008,0.1329225836563192
TAP,7.79,0.49,1.48,-2.22,44.09,2.4722159219777726,2.52,20.75,-2.4054619109369795,-1.2187075033559918,1.1970746733251925,-0.18539986193310865,1.526414215860889,0.1,0.1324030004782031,0.11479738544656024
VRT,34.84,1.02,2.19,-6.15,142.61,4.712152022999789,7.21,58.06,0.41945735641139165,-3.523376154715551,3.0835937510544404,2.119649443686773,1.4911253852486666,0.1,0.06946482293062026,0.11214341023612569
TME,14.07,0.07,1.68,-4.2,23.28,3.565292096219931,5.97,39.46,-0.9888379631458237,-2.379838274269968,1.7284884980376567,0.939451188628962,1.4307892638401623,0.1,0.09180981447407684,0.10760569765869397
RDDT,10.11,0.01,1.13,-7.81,237.45,6.047588966098126,7.05,49.57,-0.22336131364456324,-4.496849427299995,0.2671004800783799,3.4939065026195903,1.356103205084312,0.1,0.054125504847435967,0.10198876603856737
AMZN,24.77,0.46,1.66,-3.04,220.71,2.297131983145304,42.62,39.62,-0.9767235948055468,-1.699579842825416,1.6753471155664101,-0.36557335502821753,1.3083329617869408,0.1,0.1424945576926127,0.09839609835000591
ACN,27.27,0.27,1.54,-1.87,235.5,2.5774946921443735,4.36,31.93,-1.5589704231601158,-1.0134571145580664,1.356498820738932,-0.07706071959850627,1.179355474309001,0.1,0.1269949485822296,0.08869605874733273
KVUE,13.56,0.81,3.02,1.59,17.24,4.408352668213458,22.47,29.87,-1.7149429155411837,1.015589586129993,5.288961123611167,1.8070188773601317,1.1218640022801372,0.1,0.07425195544359627,0.0843722843708832
NDAQ,13.28,0.82,1.34,-1.66,88.44,1.8769787426503846,3.46,32.35,-1.5271702062668882,-0.8903068812793113,0.8250849960264678,-0.7979401242476034,1.0909279922712234,0.1,0.17439132285410983,0.08204567274196244
SNPS,6.61,0.55,1.37,-4.75,490.32,5.932860172948279,2.56,43.65,-0.6715929422348168,-2.70237459952385,0.9047970697333375,3.3758426324654374,1.024263790315657,0.1,0.055172176042905356,0.07703204275354916
