Ticker,Debt/Eq,ATR/Price %,RSI,Rel Volume,ROE %,Price,"Avg Volume, M",Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FCX,0.51,4.565967613485531,27.42,6.16,10.7,37.67,14.74,-16.95,-2.048555768024845,-7.376629060581275,10.395423870454389,1.896656288917191,5.188233835211301,0.1,0.05495933803852804,0.3102674316793834
PINS,0.03,3.5757575757575757,30.8,1.93,48.08,33.0,9.69,-6.44,-1.7665163040293759,-2.7517640200029247,1.8555868929495052,0.9141774840393408,1.8610977435972722,0.1,0.07017885083816307,0.11129760827110136
ALAB,0.03,7.30257709358406,48.79,2.25,10.11,205.27,5.9,-10.79,-0.2653654290949118,-4.665956496360281,2.5016265697347446,4.611899226257788,1.7650980652304875,0.1,0.03436356156554608,0.10555662307364137
JHX,1.16,4.333516182117389,30.07,1.34,15.8,18.23,8.46,-5.64,-1.827430152762125,-2.399728622052146,0.6644512388767204,1.6660197615328247,1.4457938428070565,0.1,0.057907377518989674,0.08646155061500657
BJ,1.26,2.4168538124264782,32.51,1.5,30.84,93.51,2.08,-2.59,-1.623827699463621,-1.0575936673648032,0.98747107726934,-0.2356779415615771,1.159559487999974,0.1,0.10383025909646583,0.06934412666204745
OBDC,1.2,1.71898355754858,31.04,1.56,9.8,13.38,2.8,-1.4,-1.7464898332131296,-0.5339410129130203,1.1086035166665724,-0.9280994560368803,1.1126814450811549,0.1,0.1459831052138674,0.06654071986880188
IBN,0.65,1.1301259283177267,32.45,1.53,17.47,30.97,4.37,-1.21,-1.6288343171676822,-0.45033260589971047,1.0480372969679563,-1.512359479432924,1.088551830410471,0.1,0.2220483144883406,0.065097717527528
AMH,0.72,1.7704517704517704,32.18,1.24,5.99,32.76,2.38,-2.27,-1.6513640968359595,-0.916779508184492,0.462563839881333,-0.8770330899370674,1.0790663387271315,0.1,0.1417392790533282,0.06453046492552841
NDAQ,0.82,1.9391853126792882,29.28,1.23,13.28,87.15,3.47,-1.46,-1.8933506191989358,-0.5603436677593288,0.4423750999817942,-0.709616963464673,1.0182297167782186,0.1,0.12940617686290437,0.060892305381516645
CRDO,0.02,6.339536751907887,53.57,1.56,18.75,149.38,4.96,-7.94,0.1334951146619943,-3.4118303911606342,1.1086035166665724,3.656377985420692,1.003500251565769,0.1,0.03958373732386695,0.060011451995444956
