Ticker,Price,ROE %,RSI,Debt/Eq,Change %,"Avg Volume, M",Rel Volume,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
LI,24.36,11.91,44.96,0.48,-5.62,5.48,2.84,3.9819376026272577,-0.6011606786524181,-3.9199583884746696,3.7421180143608894,1.3353255652473912,2.1972827198419194,0.1,0.05708200869875827,0.14953012646538885
SNY,45.54,8.39,37.72,0.32,1.04,2.58,5.12,1.932367149758454,-1.2037396497867876,0.1660235346594293,8.193848447900194,-0.7138113977442959,2.073351469649044,0.1,0.11762619588078482,0.14109632077119594
COST,915.95,30.69,32.71,0.28,-2.9,2.16,2.22,1.6452863147551722,-1.6207176394805984,-2.2512090144619443,2.5315597385738866,-1.000831514348894,1.9615694280295568,0.1,0.13815042089188279,0.1334892965730883
KDP,25.5,6.18,24.1,0.71,-0.97,15.63,1.3,2.627450980392157,-2.337320531948405,-1.067133171872033,0.735247458373816,-0.01887457928278037,1.3404957459401943,0.1,0.08650855851063559,0.09122380866453714
EMR,128.6,10.86,39.94,0.75,-1.16,3.16,2.17,2.29393468118196,-1.0189709597428236,-1.183700223733216,2.4339340711717083,-0.35232033886387676,1.292953762337343,0.1,0.09908608066990207,0.08798846768799624
DXCM,67.1,22.83,31.13,1.0,-1.76,4.41,1.69,4.411326378539494,-1.752219680142519,-1.5518067032948464,1.496727664110802,1.7646235242338444,1.2792924146018538,0.1,0.051525771925843185,0.08705878165527564
OBDC,13.24,9.8,28.42,1.2,-0.97,2.86,1.15,1.7371601208459215,-1.97777064861961,-1.067133171872033,0.4423704561672826,-0.9089771398248208,1.2450881423880136,0.1,0.13084401037274446,0.08473110251612505
ONON,42.47,9.66,37.32,0.39,-3.3,6.32,0.85,3.3670826465740524,-1.2370313056505648,-2.496613334169698,-0.14338354824578364,0.7206006527352464,1.2060388490144105,0.1,0.06750561858122267,0.08207370857960011
FCX,35.75,10.7,25.54,0.51,1.16,17.25,2.41,4.839160839160839,-2.217470570838807,0.23964483057175534,2.9025372747021616,2.1923674966714333,1.0535097143667569,0.1,0.046970333168446086,0.07169375128618416
IBN,30.62,17.47,29.17,0.65,-0.23,4.43,0.94,1.1103853690398433,-1.9153487938750275,-0.6131351804126887,0.032342653078136205,-1.5356193270197338,1.0449998543183012,0.1,0.20470100129978008,0.07111463580060846
