Ticker,Change %,"Avg Volume, M",ATR/Price %,Price,Debt/Eq,ROE %,Rel Volume,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CART,-10.4,4.57,4.614978902953586,37.92,0.01,14.54,3.14,26.13,-2.198366583704257,-4.945422261240404,3.7157406582496635,1.9156949333385653,3.0519047340467074,0.1,0.06031666378419727,0.21655939627561704
CAVA,-6.15,4.68,4.543907420013615,58.76,0.58,20.9,1.75,27.39,-2.0931272238165586,-2.9944964637879523,1.2668371259856182,1.8451350939778672,1.8495222064609156,0.1,0.06126007973546718,0.1312398149133685
EOG,-3.38,2.92,2.3996471107190125,113.35,0.16,19.63,1.86,36.77,-1.3096786557636932,-1.7229518852130596,1.4606352472439241,-0.28368868614696724,1.381916607405345,0.1,0.11600044423915701,0.09805909826226258
OVV,-5.86,3.13,3.3956692913385824,40.64,0.64,5.75,1.16,45.37,-0.5913782628794035,-2.861374468197079,0.22737447560015986,0.7051631311644614,1.1834220378803546,0.1,0.0819750414360536,0.08397416839509636
BSX,-1.16,8.04,2.040395713107997,97.04,0.54,11.71,1.49,28.85,-1.9711832036292256,-0.7038800568967197,0.8087688393750773,-0.6403538330800852,1.1620612923671048,0.1,0.1364245813066368,0.08245843623585142
B,-3.89,16.67,3.6511768255884127,33.14,0.19,11.41,3.87,67.24,1.2352763408856455,-1.9570629809073539,5.001855462963875,0.9588312667701782,1.157113289923355,0.1,0.07623846889851886,0.08210733208438994
PR,-4.75,11.9,3.683806600153492,13.03,0.44,12.86,1.15,40.19,-1.024028964639941,-2.351838554038909,0.2097564645766775,0.9912261396002892,1.124382310492904,0.1,0.07556317718987113,0.07978478214831464
SNY,0.24,2.75,1.8619934282584885,45.65,0.32,8.39,2.67,38.6,-1.1568310140220364,-0.061222147147676695,2.8876941401459937,-0.8174717999472593,1.0856046144333245,0.1,0.149495764397495,0.07703316465713335
DECK,-2.35,3.24,3.359798605731991,103.28,0.13,43.58,1.16,30.62,-1.823346959977459,-1.2501392801834066,0.22737447560015986,0.6695506786102214,1.0542400113153125,0.1,0.0828502429835283,0.07480757109915401
OBDC,-0.23,2.88,1.7411052233156699,13.21,1.2,9.8,1.41,27.88,-2.0522008060824537,-0.27697158827771257,0.6678247511872184,-0.9374897307476187,1.0425242613382637,0.1,0.15987553602907498,0.07397623592881217
