Ticker,"Avg Volume, M",Rel Volume,Debt/Eq,ROE %,Price,ATR/Price %,Change %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
DOCU,2.68,3.6,0.06,14.23,72.09,3.8979053960327366,-12.24,33.9,-1.5275944147905136,-6.1871894935284075,4.156834300186779,1.2123720918254628,3.410304018766432,0.1,0.07114605457275314,0.2092358882269542
CART,4.75,4.52,0.01,14.54,36.76,5.00544069640914,-3.06,23.93,-2.3456895418816175,-1.5388890448491686,5.725547879597421,2.308501656287463,2.2738619156465125,0.1,0.055403830920326635,0.13951058762140434
OBDC,2.9,2.35,1.2,9.8,12.77,1.957713390759593,-3.33,21.39,-2.55411096844244,-1.6756037639279697,2.0254299803353635,-0.7078392251320477,1.9562700749099209,0.1,0.14165535738506319,0.12002504893497634
PAYX,2.49,2.79,1.22,41.8,126.76,2.2562322499211107,-1.38,31.35,-1.7368363981488197,-0.6882196816921834,2.7756843009230616,-0.4123946041206891,1.4451459485410325,0.1,0.12291313983091524,0.08866552497860355
BEKE,5.69,1.9,0.32,5.6,19.0,3.421052631578948,-5.99,47.62,-0.4017904886430766,-3.022496922259862,1.258124425188853,0.7404301024048171,1.3760824686133175,0.1,0.08106294169978316,0.08442820229792745
NWSA,3.4,4.48,0.34,5.69,30.71,2.0188863562357535,-1.03,58.08,0.45651192152472164,-0.510996897701145,5.657342941362177,-0.6472962374896273,1.2152679536831466,0.1,0.13736315031750612,0.07456158404746066
PINS,9.72,1.3,0.03,48.08,32.17,3.761268262356232,-3.45,29.61,-1.8796132809109585,-1.7363658612963258,0.23505035166017352,1.0771420889756558,1.2048885612070186,0.1,0.07373060645555964,0.07392476651094544
EOG,2.94,2.42,0.16,19.63,112.12,2.3992151266500175,-1.09,34.45,-1.4824637909289178,-0.541377946385323,2.1447886222470425,-0.27088420861355234,1.164390753370748,0.1,0.11558804666790841,0.07144006287536411
SYF,3.23,1.6,0.94,20.23,71.05,2.7867698803659398,-3.1,36.52,-1.312608533849822,-1.5591430773052872,0.7465873884245136,0.112679388186872,1.1431626027705037,0.1,0.099513272329884,0.07013763032922873
PYPL,11.21,1.88,0.6,22.92,67.06,2.728899492991351,-3.76,45.29,-0.5929802224567448,-1.8933346128312454,1.2240219560712304,0.055404967690661285,1.1094740867959765,0.1,0.1016235998203005,0.06807070417713516
