Ticker,Rel Volume,"Avg Volume, M",ATR/Price %,ROE %,RSI,Price,Change %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
TRU,5.73,2.85,4.924500068017956,9.06,24.35,73.51,-10.64,1.15,-2.186651711743286,-5.708775313560843,9.869926230758958,2.23007091851641,4.514377613156596,0.1,0.05414895738129416,0.25098919220390814
OXY,4.47,9.79,3.36875423920416,6.98,40.01,44.23,-7.31,0.68,-0.99903154019914,-3.9474200448131094,7.242271260532249,0.6729842701927605,3.112413879841461,0.1,0.07915583191081337,0.17304317725415366
FUTU,2.38,2.49,5.557894736842106,26.43,41.39,166.25,-5.77,0.29,-0.8943753564998471,-3.1328593499568007,2.883700714680014,2.8640114785225688,1.6998711423435724,0.1,0.047977976721954585,0.09450899358177994
CTRA,1.94,6.72,2.462203023758099,11.42,40.2,23.15,-3.38,0.3,-0.9846223554869181,-1.8687034663811006,1.9661069155532276,-0.23434825639927234,1.4153202464043793,0.1,0.10829998246866028,0.07868860689003887
CMCSA,1.11,22.29,1.9407894736842106,25.44,22.28,30.4,-1.75,1.05,-2.3436359872922248,-1.0065385750721503,0.2351913399276992,-0.7562111867303294,1.295220483486104,0.1,0.13739591435493978,0.07201133151305478
GSK,2.79,4.78,2.2888532845044636,23.04,63.66,43.69,-4.0,1.17,0.7945327674010554,-2.196643486388186,3.7387313002299742,-0.40784739712203905,1.2792697514036946,0.1,0.11650224420785257,0.07112450686002679
T,1.27,31.23,1.8141429100333208,12.12,27.63,27.01,-1.96,1.43,-1.9379036809217791,-1.117615033461647,0.5688618123374395,-0.882966900719439,1.2715006025736308,0.1,0.1469876175865256,0.07069255974437419
ICE,1.21,2.76,1.6213194185613118,10.89,21.27,160.98,-1.02,0.69,-2.420232179709823,-0.6204156482896143,0.44373538518378675,-1.075956577113519,1.2605694745479121,0.1,0.16446885250033202,0.07008481373193236
APO,1.5,3.14,3.3639864811758233,18.82,32.98,127.23,-2.09,0.63,-1.5321713745513335,-1.1863766505599067,1.0485131164264414,0.6682124030722674,1.0943731917669954,0.1,0.07926801900050422,0.06084467603478761
DOCU,1.65,2.9,4.052863436123348,14.23,28.87,68.1,-1.26,0.06,-1.8438647912209654,-0.7473601721633247,1.361329184310573,1.3576830666089303,1.043426267385723,0.1,0.06579460386712344,0.05801214218594372
