Ticker,Price,Change %,Debt/Eq,"Avg Volume, M",RSI,ATR/Price %,Rel Volume,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PLTR,173.07,-7.47,0.04,64.75,49.74,4.241058531230138,1.6,15.3,-0.3139635419903669,-4.770623966164601,2.3208188284477824,1.542645340596318,2.0895048594841636,0.1,0.06772953427834538,0.13902267004075325
CART,38.18,-2.85,0.01,5.28,34.25,4.766893661602934,2.34,14.54,-1.558480385575158,-1.9052519028498185,4.757815816616837,2.0651854154870395,1.9573509227234047,0.1,0.060258302273692985,0.1302299682379859
GME,25.38,-6.76,0.85,8.62,49.55,3.664302600472814,1.34,7.58,-0.32922875827707554,-4.3302745798110305,1.464576643415412,0.9695035517661675,1.8267911418373024,0.1,0.07839006503730254,0.1215433316617003
CLS,233.67,-6.87,0.58,3.37,48.46,5.435015192365301,1.09,30.28,-0.41680289381661184,-4.398497724175669,0.6412668501150555,2.72912027749057,1.540696558571252,0.1,0.05285080335578835,0.10250837576326709
META,710.56,-2.27,0.25,11.58,34.17,2.309446070704796,1.39,40.65,-1.5649078450642981,-1.5455298689271835,1.6292386020754825,-0.37686300238407083,1.452187220550522,0.1,0.12437827529774681,0.09661951437137775
NKE,71.93,-3.54,0.82,13.05,46.93,2.8082858334491863,1.44,21.12,-0.5397280565464202,-2.3331970811370915,1.793900560735554,0.11885086671045525,1.3524188236652943,0.1,0.1022847873055078,0.08998154516172775
CHWY,37.53,-4.38,1.36,7.23,44.81,3.996802557953637,1.11,34.48,-0.710055733008638,-2.854173819921597,0.707131633579084,1.299919955402062,1.2589146747011928,0.1,0.07186867877568869,0.08376036008533275
BTI,51.24,-2.12,0.75,5.02,29.18,1.6978922716627634,0.82,5.97,-1.9658206306994246,-1.4524983084299503,-0.24790772664932992,-0.9845846046371814,1.2452885438291332,0.1,0.16917735239239817,0.08285376200418441
GSK,43.35,-0.78,1.17,4.91,61.64,2.3529411764705883,2.67,23.04,0.6421210570192528,-0.6214163679880003,5.844584743773308,-0.33364045122412134,1.1950343527161353,0.1,0.12207909064615381,0.07951016038605178
PAA,16.82,-0.77,0.91,2.72,37.54,1.902497027348395,1.45,8.34,-1.2941511140842632,-0.6152142639548513,1.8268329524675684,-0.7812619694926451,1.1117706697564684,0.1,0.15098311063737552,0.07397031228761887
