Ticker,Price,Debt/Eq,ROE %,Change %,"Avg Volume, M",RSI,Rel Volume,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
T,25.87,1.43,12.12,-4.4,31.33,21.02,1.96,2.0100502512562812,-2.534586960301835,-2.825840506073406,3.6710501655324834,-0.7637437119809428,2.6867340175359256,0.1,0.09980111299459571,0.19981583026505587
ICE,159.06,0.69,10.89,-2.19,2.82,23.33,1.37,1.7289073305670817,-2.354759140342357,-1.5804446518580375,1.584874330554461,-1.034650179776745,1.7977612113587047,0.1,0.11603007790165659,0.13370179062064483
KDP,25.3,0.71,6.18,-2.09,16.23,27.13,1.46,2.292490118577075,-2.0589384841319602,-1.5240918982736313,1.9031045426697522,-0.4915875195610113,1.6838402943320088,0.1,0.08750539451614178,0.12522934695049598
CART,37.85,0.01,14.54,-0.86,5.44,33.43,1.76,4.808454425363276,-1.5684989751515657,-0.8309530291854399,2.9638719163873914,1.9327701764496072,1.2393055671504696,0.1,0.04171927910812797,0.09216873320396175
META,715.66,0.25,40.65,0.72,11.7,36.97,1.85,2.3921974121789678,-1.2929186796292487,0.059420477448172256,3.2821021285026832,-0.39551058240409653,1.1276958547043232,0.1,0.0838581511831498,0.083868176761637
EQR,62.22,0.79,9.2,-1.71,2.1,35.6,0.86,1.6875602700096433,-1.3995698109472072,-1.3099514346528893,-0.21843020476552563,-1.0744917881014218,1.012095573817071,0.1,0.11887294090497716,0.07527083666261802
COST,910.94,0.28,30.69,-0.49,2.28,33.35,1.09,1.5247985597295102,-1.5747267784402053,-0.6224478409231383,0.5948247817513312,-1.231327321844557,1.0111088053118922,0.1,0.1315618059647366,0.07519744943230242
PG,150.41,0.68,31.23,-1.22,7.54,34.01,0.84,1.3496443055647895,-1.523347401308926,-1.0338229420893008,-0.28914802968003495,-1.4001041852236944,0.9771904327757419,0.1,0.148635645275809,0.07267489687394903
NWSA,28.06,0.34,5.69,-1.13,3.73,35.02,1.04,2.459016393442623,-1.4447213847898468,-0.9831054638633355,0.4180302194650579,-0.331124489553258,0.9664578898769512,0.1,0.08157946924851374,0.0718767039913711
EOG,110.45,0.16,19.63,-0.34,3.07,32.28,1.09,2.218198279764599,-1.6580236474257644,-0.5379187105465296,0.5948247817513312,-0.5631743821766707,0.9438622198582363,0.1,0.09043612290229183,0.0701962352379641
