Ticker,ATR/Price %,ROE %,RSI,Debt/Eq,Rel Volume,Price,Change %,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ICE,1.9263349438413753,10.89,29.49,0.69,1.71,159.37,-1.61,2.9,-1.8655809756952422,-1.1961639887851307,2.7711447922568233,-0.8133885205022237,1.7071785480697175,0.1,0.1133536086535514,0.1324658542133386
CTVA,3.010616384091269,5.75,34.25,0.14,1.32,63.11,-3.81,4.56,-1.4696791284855066,-2.309728418242388,1.4785387769161564,0.24134205358350402,1.5943661913796439,0.1,0.0725290071872659,0.12371235551710252
BSY,3.3588685916322927,23.69,41.62,1.1,1.7,50.91,-3.12,2.0,-0.8566966465662319,-1.960474119912612,2.738001048273729,0.5801030404926882,1.4755996738730723,0.1,0.06500909797538172,0.1144968530078659
VICI,1.4635698377346484,10.45,33.41,0.66,1.24,31.43,-1.75,7.66,-1.5395441603460485,-1.2670271797505925,1.213388825051404,-1.2635414862472614,1.3513318826688312,0.1,0.14919480555696257,0.10485448775457291
PAA,1.9464720194647203,8.34,31.36,0.91,1.22,16.44,-1.38,2.77,-1.7100481071485603,-1.079745889341872,1.1471013370852159,-0.7938002581339927,1.2852281920020936,0.1,0.11218091766862608,0.099725275077478
EQNR,2.233049127080796,19.22,48.24,0.82,1.34,24.63,-2.99,3.71,-0.3060936573795828,-1.894672585444683,1.5448262648823445,-0.5150334859516073,1.1307367865601228,0.1,0.09778424250133194,0.08773775566210741
APO,3.141025641025641,18.82,31.12,0.63,1.24,124.8,-0.99,3.25,-1.7300095448230006,-0.8823412859380855,1.213388825051404,0.368197153492604,1.1201808404274005,0.1,0.06951774430232155,0.0869186835017396
NWSA,2.553663952627683,5.69,29.07,0.34,0.93,27.02,-1.31,3.74,-1.9005134916255129,-1.0443142938591412,0.18593276157548952,-0.20315665540148026,1.0881919427748747,0.1,0.08550734216033787,0.08443655492902757
EOG,2.0995475113122173,19.63,32.51,0.16,1.36,110.5,0.05,3.08,-1.6143995516252,-0.3559290101946548,1.6111137528485326,-0.6448966659471195,1.0763274138013676,0.1,0.10400194145803493,0.08351594532607096
INVH,1.6678495386799146,5.65,30.6,0.85,1.21,28.18,0.14,3.94,-1.7732593264509549,-0.3103741017168579,1.113957593102122,-1.0648291978561548,1.0585461382647743,0.1,0.13092129253618612,0.08213623501069661
