Ticker,"Avg Volume, M",Rel Volume,ROE %,ATR/Price %,RSI,Price,Change %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
LYFT,20.72,1.29,14.07,5.324543610547668,45.44,19.72,-6.81,1.1,-0.3583900390600144,-3.286311883252453,1.0999192244905625,2.4766720466508354,1.2479623130423925,0.1,0.05201741085333418,0.11969829894418757
SWK,2.04,1.17,5.38,3.0694205393000575,34.65,69.72,-4.15,0.74,-1.302431179482978,-1.853264406293187,0.7648444938510531,0.2582701162775034,1.231635342164118,0.1,0.09023493817484934,0.11813229761496766
CARR,5.4,1.15,10.79,2.512908777969019,33.72,58.1,-2.84,0.81,-1.3837989515490905,-1.1475154608733975,0.708998705411135,-0.2891797242002649,1.0566777578501243,0.1,0.1102184747112886,0.10135124180029745
VICI,7.7,1.22,10.45,1.5816655907036798,29.34,30.98,-1.43,0.66,-1.767014910312073,-0.3878925501543879,0.9044589649508488,-1.2052590773033895,1.05563531188377,0.1,0.17511221981704142,0.1012512556007065
WPM,2.05,1.42,10.6,3.1340684852002325,42.36,103.38,-3.57,0.0,-0.627866101386495,-1.5407954075577075,1.4629168493500304,0.3218653718128373,1.0194283608191932,0.1,0.08837361847842906,0.09777846607245569
AU,2.93,1.38,19.42,3.653473567672295,60.88,72.26,-6.75,0.31,0.992489961693513,-3.2539875040729207,1.3512252724701939,0.8328127574755984,0.9784879185792716,0.1,0.07580976499928976,0.0938516637620602
NWSA,3.76,0.87,5.69,2.5699168556311416,26.35,26.46,-2.07,0.34,-2.0286166721160264,-0.7326859280693993,-0.07284233274771924,-0.23309993363585899,0.9751974368789409,0.1,0.10777351492499282,0.0935360572264138
APO,3.27,1.5,18.82,3.1244940909826777,29.61,123.54,-1.01,0.63,-1.7433920087444919,-0.16162189589766165,1.6863000031097033,0.3124468815826663,0.9727701790884276,0.1,0.08864442195480182,0.09330324680771199
LI,5.67,1.13,11.91,3.85429902583651,40.44,23.61,-4.18,0.23,-0.7958511792004053,-1.8694265958829526,0.6531529169712167,1.0303680881534631,0.9604409958580722,0.1,0.07185975212087808,0.09212069326052438
PAA,2.79,0.9,8.34,1.978973407544836,27.7,16.17,-1.64,0.91,-1.910502164278121,-0.501027877282751,0.010926349912158089,-0.8144207948742087,0.9276628640161577,0.1,0.13995588396509487,0.08897677891067478
