Ticker,Price,ATR/Price %,RSI,Debt/Eq,Rel Volume,"Avg Volume, M",Change %,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ALAB,161.55,10.894459919529558,34.47,0.03,2.86,6.11,-19.03,10.11,-1.4384495308331864,-7.089844164578842,5.547264208733896,5.942522536963892,3.5001033814445996,0.1,0.02809089977239782,0.26899366384014345
CRDO,129.75,8.585741811175337,41.79,0.02,2.06,5.19,-13.44,18.75,-0.6268440208979658,-4.9989341108871725,3.2576042798984557,4.182463234098911,2.2022968786945984,0.1,0.035644582425664116,0.16925325960494023
PAA,15.89,2.0138451856513533,26.75,0.91,1.25,2.81,-0.44,8.34,-2.2944050686337194,-0.13635259067398967,0.9393236019525718,-0.8276450815784856,1.121394409306061,0.1,0.15196559489995093,0.0861825945965606
ANET,138.79,5.302975718711724,43.92,0.0,1.5,9.09,-5.87,33.64,-0.3906801225151759,-2.167415487193804,1.6548423297136472,1.679835053004476,1.0583184240404246,0.1,0.05771008541375267,0.08133501196032211
OVV,36.81,3.6403151317576743,34.25,0.64,1.23,3.1,-3.11,5.75,-1.462842046159108,-1.1350520259793127,0.8820821037316858,0.41229995507019035,1.0444493504877654,0.1,0.08406832117475097,0.08026913118412102
EQNR,23.08,2.512998266897747,36.91,0.82,1.44,3.7,-1.87,19.22,-1.1679143608547797,-0.6712365578974399,1.483117835050989,-0.44711398901140487,0.985037787474615,0.1,0.12178089643161799,0.0757031706201845
ICE,158.27,1.8259935553168634,30.45,0.69,0.94,3.03,-0.3,10.89,-1.884167310879578,-0.08398632814861692,0.05208037952883834,-0.9708544272028692,0.7963552922859228,0.1,0.16759926714024134,0.061202343029669544
MSTR,300.67,5.53430671500316,39.16,0.16,0.98,11.67,-4.69,18.01,-0.9184454541123964,-1.7260427030513767,0.1665633759706105,1.8561910449250356,0.7732644257089389,0.1,0.05529783538094622,0.05942773921804635
AM,18.0,2.111111111111111,34.69,1.45,0.82,2.54,-2.07,21.65,-1.4140570155072645,-0.7460455043622579,-0.2913686097964778,-0.7534940640342714,0.7731115663984643,0.1,0.1449640334244837,0.0594159915119087
PBR-A,10.99,2.001819836214741,33.85,0.93,1.03,6.45,-0.72,19.48,-1.5071920740244207,-0.24108511572473515,0.30966712152282566,-0.8368126486666997,0.7575117055834396,0.1,0.15287848393619413,0.05821709443410356
