Ticker,Price,ATR/Price %,RSI,Rel Volume,Change %,ROE %,"Avg Volume, M",Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
KVUE,14.11,5.031892274982281,25.11,3.28,-13.22,13.56,26.47,0.81,-1.9901913585600748,-5.309383986252218,4.5008076812022475,1.3978000234171022,3.3152329045830413,0.1,0.0552440138291584,0.21816243336241767
HPE,22.5,4.711111111111111,37.18,3.72,-10.14,5.37,21.19,0.97,-0.8588475194490816,-3.9887939042015845,5.376484685958362,1.1576464377013242,2.656206791699273,0.1,0.059005597590415286,0.1747945178722748
CFG,48.39,3.2651374250878282,35.64,1.8,-6.4,6.71,4.64,0.41,-1.0031946207109645,-2.3852202331401013,1.5553486652044095,0.0751147785524893,1.4895034540335061,0.1,0.08513636341615212,0.09801836172187285
ICE,153.36,1.9561815336463222,24.01,1.8,-2.6,10.89,3.09,0.69,-2.0932964308899913,-0.7559207812594498,1.5553486652044095,-0.904838180904063,1.3987795753835925,0.1,0.14210436078894897,0.09204818022935078
APO,120.84,3.7735849056603774,36.07,1.53,-5.37,18.82,3.46,0.63,-0.9628899106183609,-1.9435943290777142,1.0180014122858851,0.45576520120850983,1.1752932462299523,0.1,0.07366521050287847,0.0773414242352272
SE,162.65,4.648017214878573,29.75,2.99,-0.47,14.48,4.1,0.43,-1.5552754170956995,0.15734443782102053,3.9236569280675364,1.1104110413514667,1.1629661242244982,0.1,0.05980656128727755,0.0765302248382414
OKE,67.22,2.439750074382624,24.75,1.18,-2.47,16.05,3.61,1.49,-2.0239348367771384,-0.7001815894845854,0.32144015850261237,-0.5428134360726962,1.0720101244993954,0.1,0.11393868959971218,0.0705447683710628
EQR,61.5,1.6260162601626018,34.92,2.35,-0.95,9.2,2.08,0.79,-1.0706815771450917,-0.04846180873232488,2.6499449211495523,-1.1520172027302635,1.0368908895600326,0.1,0.17095888475196322,0.06823370969955705
ARCC,19.53,2.2017409114183306,36.74,1.79,-2.59,10.25,4.64,1.01,-0.9000895483810479,-0.7516331511229216,1.5354469150963161,-0.7209995652995412,0.9572922843756067,0.1,0.1262555121650914,0.06299563868038902
MET,77.84,2.4409044193216856,39.26,1.21,-4.63,15.61,3.3,0.73,-0.6638852008616032,-1.6263096989746397,0.38114540882689296,-0.5419492329726046,0.931992220005324,0.1,0.11388480606840239,0.061330740989606454
