Ticker,Price,Debt/Eq,"Avg Volume, M",RSI,Change %,ROE %,ATR/Price %,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
WPM,104.59,0.0,2.09,45.79,-7.85,10.6,3.604551104312076,1.44,-0.16235723587144518,-4.056336091544327,1.3197812032826348,0.3494115854237026,1.7055577467096767,0.1,0.08562246495997532,0.1313999903388379
PAAS,38.44,0.17,5.99,50.95,-8.54,10.91,4.448491155046827,1.58,0.37528200333767037,-4.404247430613114,1.6831466350174609,0.9835923351852348,1.6484079930313738,0.1,0.06937870389497318,0.12699704526372502
EOG,106.22,0.16,3.19,29.7,-0.96,19.63,2.3724345697608737,2.09,-1.838833080614597,-0.5822648941762886,3.0068349934800396,-0.5764653023895655,1.5063978201117745,0.1,0.13009022653742103,0.11605626334904008
NEM,90.77,0.24,10.84,59.84,-7.63,20.26,3.5474275641731854,1.82,1.3015635608122893,-3.945407838507902,2.3060588037057332,0.3064859659051419,1.355908661344097,0.1,0.08700122695735295,0.10446224136630701
SLB,32.63,0.47,16.73,39.98,-0.88,15.05,3.064664419246092,2.33,-0.7677223482367476,-0.5419273476175887,3.6297471621683126,-0.056287542640342185,1.1899555802467146,0.1,0.10070614866906837,0.09167684415828839
SE,160.06,0.43,4.17,28.21,-1.59,14.48,4.554542046732475,1.47,-1.9940816206187792,-0.8999230733260513,1.397645224368669,1.0632845288944086,1.1861022348649837,0.1,0.06776324545007091,0.09137997379613945
ICE,153.6,0.69,3.15,24.86,0.16,10.89,1.875,1.29,-2.3431303515006663,-0.017539242354488543,0.9304610978524648,-0.9502636878715764,1.1073529462069547,0.1,0.1646029603335472,0.08531295214951515
IAG,13.36,0.35,14.0,58.28,-8.74,26.28,4.790419161676647,1.02,1.1390214652374404,-4.505091297009865,0.22968490807815814,1.2405349455284422,1.100007928183136,0.1,0.06442662744305246,0.08474707550345595
LEVI,20.87,1.06,2.69,33.17,-1.37,25.99,3.5457594633445133,1.58,-1.4772811116115676,-0.7889948202896262,1.6831466350174609,0.3052324675870041,1.0993026564102095,0.1,0.08704215664259621,0.0846927397858131
ARCC,19.51,1.01,4.73,36.52,-0.1,10.25,2.1527421834956426,2.01,-1.1282323807296808,-0.14863626867026358,2.799197603917282,-0.741553666328788,1.080898914706316,0.1,0.1433662391119423,0.08327487428887796
