Ticker,ROE %,ATR/Price %,Debt/Eq,Price,"Avg Volume, M",Rel Volume,Change %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
MSTR,25.59,9.824046920821115,0.14,170.5,12.57,2.35,-3.74,23.57,-1.8684917539780486,-2.8050240561605952,2.670596636051703,3.1474430804605147,1.8551055527128142,0.1,0.03549810398212105,0.15802441920328272
VICI,10.36,1.7696044413601664,0.64,28.82,9.11,2.55,0.07,27.75,-1.5072356434611958,-0.814825208314813,3.1411863516555267,-0.981368187589049,1.5390953872116133,0.1,0.1970694868128251,0.131105561247931
ANET,31.74,5.7055266967555145,0.0,117.43,8.78,1.9,-1.81,26.85,-1.585018059601188,-1.7968655846796608,1.611769775943098,1.0362364075996373,1.402389589926953,0.1,0.0611223218566052,0.11946048035965527
PANW,15.33,3.389830508474576,0.04,182.9,5.5,1.47,-1.17,23.92,-1.8382430365902735,-1.462553967193755,0.6000018873948758,-0.1508193743411689,1.290361266237502,0.1,0.1028768365405605,0.1099175135136693
UBER,77.55,3.6842732800763085,0.47,83.87,17.09,1.97,0.61,28.54,-1.4389599670716473,-0.5327497810610802,1.7764761764044366,0.00011579420526269838,1.0453820677068157,0.1,0.09465504120077678,0.08904932328692676
EQNR,13.46,2.3498694516971277,0.76,22.98,3.68,1.84,-0.26,36.14,-0.7821306752228241,-0.9872046360809831,1.470592861261951,-0.6839168470097959,0.9817776159097023,0.1,0.1484061333146315,0.08363127225512218
CPNG,8.73,3.000750187546887,1.04,26.66,11.24,1.04,0.38,19.33,-2.234933358904234,-0.6528930185950775,-0.4117660011533464,-0.3502669732679783,0.9634127292208876,0.1,0.11621595178692129,0.08206688657987576
SE,15.66,5.443886097152429,0.42,131.34,4.38,1.75,0.27,28.22,-1.4666159372547556,-0.7103528278504675,1.25882748924023,0.90211605618175,0.923492960016699,0.1,0.06405994410921993,0.07866638015909767
PDD,30.03,3.3468738961497704,0.03,113.24,9.14,1.03,0.27,22.33,-1.9756586384375934,-0.7103528278504675,-0.43529548693353765,-0.1728394887632617,0.8703288646904399,0.1,0.10419724493406439,0.07413767543169578
NVT,8.57,4.594728990551965,0.48,100.55,2.03,1.97,-0.96,42.35,-0.24543200385687786,-1.3528579677061923,1.7764761764044366,0.46682715331643265,0.8680140099963186,0.1,0.07589893546227423,0.07394048796274362
