Ticker,Price,Change %,ATR/Price %,Rel Volume,RSI,Debt/Eq,ROE %,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
IPG,24.57,-1.96,2.7676027676027677,12.62,40.94,1.13,14.79,6.5,-1.1648820526076584,-1.5712322192750166,14.773513579314312,-0.3046695412321208,3.9428096651450106,0.1,0.10200883730396473,0.24594918204047347
WDAY,215.34,-7.85,3.928670938980218,4.18,39.7,0.43,7.34,2.9,-1.2793342982093796,-4.579458877057159,4.174967808130851,0.4505441217272042,2.8405167607967385,0.1,0.07186143732253542,0.17718906902002807
TME,17.99,-2.33,4.224569205113952,0.81,29.03,0.05,14.47,5.93,-2.2641774115725815,-1.7602040127180376,-0.05691598913079115,0.6430103514792936,1.332849265527629,0.1,0.06682810169156124,0.08314202674749446
CPRT,38.75,-0.79,2.632258064516129,0.99,26.23,0.01,18.22,8.03,-2.522617966157114,-0.9736727643335724,0.16911934722146266,-0.3927041385968382,1.2967960389757165,0.1,0.10725389894257586,0.08089305651219486
PANW,185.35,-0.49,3.1561909900188834,1.05,28.91,0.04,15.33,5.64,-2.27525343534049,-0.8204523912716636,0.2444644593388807,-0.051913379218336046,1.1375812691038636,0.1,0.08944957429230356,0.07096137181411948
CRM,228.15,-2.55,3.204032434801665,0.88,39.09,0.19,11.2,8.98,-1.3356374190295812,-1.872565619630104,0.030986641672863083,-0.020795040393487438,1.1311478959048111,0.1,0.08811394584395627,0.07056006335379594
LIN,407.9,0.01,1.7283647952929642,1.16,30.34,0.67,18.24,2.23,-2.1432641521062465,-0.565085102835149,0.38259716488748013,-0.9806390795438926,1.1225055801613737,0.1,0.16334511164035773,0.070020962897889
VICI,28.83,0.28,1.664932362122789,1.15,29.53,0.64,10.36,9.57,-2.218027312539629,-0.42718676707943104,0.3700396462012438,-1.0218985347471454,1.1020227105816343,0.1,0.16956841422821242,0.06874325855838893
BSY,41.12,-0.29,3.28307392996109,0.59,25.61,1.07,24.16,2.19,-2.5798440889579752,-0.7183054758970577,-0.3331814002279905,0.030617287113788014,1.0846543389422845,0.1,0.08599256259993489,0.06765983400563008
SE,134.26,-1.49,5.079696112021451,1.04,33.51,0.42,15.66,4.47,-1.8506725242373292,-1.331186968144693,0.23190694065264436,1.199225343484915,1.040109676115745,0.1,0.05557811613459783,0.06488117504998578
