Ticker,Rel Volume,ATR/Price %,Change %,ROE %,Price,"Avg Volume, M",Debt/Eq,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AU,1.4,4.57516339869281,-3.63,19.42,85.68,3.26,0.3,62.35,0.7094735112709815,-3.3816205077474435,5.066794624514218,1.002500810356224,1.848360292633983,0.1,0.0614802206499404,0.14709891646198708
LI,0.84,3.4801522566612286,-0.22,6.55,18.39,5.18,0.25,31.35,-2.3782936203405747,-0.850026077482202,2.0469584348343637,0.2515429883131674,1.5141492823735279,0.1,0.08082464056645045,0.12050124625943084
VICI,0.63,1.596113809854268,-0.03,10.36,28.82,9.59,0.64,29.43,-2.5695359717178063,-0.7089694963237283,0.914519863704418,-1.0405291690847822,1.434433803463899,0.1,0.17622932244840828,0.11415721224204525
NVDA,0.62,4.52542372881356,-1.81,107.36,177.0,195.71,0.09,41.48,-1.3692910060429924,-2.03044694086101,0.8605942174601348,0.968389381962571,1.2651881867121706,0.1,0.062155959776811785,0.10068805964266622
MSTR,1.14,8.804605485946494,0.88,25.59,177.18,13.28,0.14,29.64,-2.5486188395359215,-0.03338271288051125,3.6647278221628565,3.903049029809558,1.246341204797367,0.1,0.03194715035331619,0.0991881515190744
BJ,0.44,2.9810601815532896,-1.7,29.24,89.23,2.24,1.24,43.32,-1.1860170859731447,-1.9487826044008405,-0.11006741493696151,-0.0907339834322013,1.0842398069867225,0.1,0.09435638267275853,0.0862875606169947
CPRT,0.49,2.5397639815289894,0.59,18.22,38.98,8.07,0.01,28.89,-2.6233228830426527,-0.24867959991186614,0.15956081628445407,-0.39337458728147945,1.0764504910191202,0.1,0.11075125771798203,0.08566765986313164
TCOM,0.86,2.316933638443936,0.29,20.1,69.92,2.31,0.19,43.31,-1.1870131398865675,-0.47140051753050904,2.1548097273229296,-0.5461914698730107,1.0660258725478637,0.1,0.12140272409790538,0.08483803260498154
PDD,0.45,2.997932460372157,0.24,30.03,116.08,8.38,0.03,30.33,-2.479891119509729,-0.5085206704669496,-0.05614176869267833,-0.07916298724013299,1.0426320714773152,0.1,0.09382534762849443,0.08297627285872497
LIN,0.52,1.684051472021837,0.59,18.24,410.32,2.24,0.67,34.05,-2.1093590637163424,-0.24867959991186614,0.3213377550173036,-0.9802215861551732,0.987603241888851,0.1,0.16702699408793242,0.0785968879309633
