Ticker,ATR/Price %,Change %,"Avg Volume, M",RSI,Rel Volume,Debt/Eq,Price,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ALAB,10.605848607807472,-13.47,6.33,41.38,2.78,0.02,142.94,18.4,-1.218478045317529,-6.004817539031085,4.244029614623337,4.856313787614397,2.8913279986852425,0.1,0.024886583306584234,0.1753548122721043
IREN,14.956225680933855,-15.2,41.14,37.41,1.99,0.34,41.12,30.19,-1.6348794418394987,-6.787206812433802,2.425689034951133,7.66863967705108,2.6660040282807738,0.1,0.017647723466201443,0.1616892431811372
XYZ,5.207120279487606,-6.59,6.81,36.41,3.03,0.36,60.11,14.78,-1.7397664434823121,-2.8933503708168082,4.81945384869682,1.3662752938113791,2.448854125362918,0.1,0.05068892607589117,0.148519419322211
VICI,1.616871704745167,-0.49,9.69,25.69,2.39,0.64,28.45,10.36,-2.864155101093271,-0.13463674783612767,3.3463678094687057,-0.9546612242282346,1.8143168314418543,0.1,0.1632432147464791,0.11003566095727488
SU,2.0027309968138374,-1.92,3.94,57.7,3.1,0.32,43.94,11.41,0.49327782149318533,-0.7813515807643856,4.9805726342373955,-0.7052203002522851,1.1674623726176279,0.1,0.13179170609289556,0.07080488456453259
PG,1.6796928561634443,-1.07,7.94,41.86,2.0,0.67,145.86,31.9,-1.168132284528979,-0.3969406660867498,2.4487060043140727,-0.9140501352196037,1.12892174710028,0.1,0.15713785645197612,0.0684674520229748
ZTS,2.73224043715847,-2.21,3.66,42.7,1.82,1.35,124.44,49.87,-1.0800272031490155,-0.9125035398896967,2.0344005557811653,-0.23362479228053878,1.1276283504478362,0.1,0.0966032605789709,0.06838900940861704
ETN,3.524361322085797,-1.94,2.46,37.77,1.57,0.6,333.11,20.69,-1.5971201212480852,-0.790396543462683,1.458976321707683,0.2784462385286796,1.0995814731374374,0.1,0.07489111098263142,0.0666880073404255
PPL,1.7319704713231119,-1.62,5.44,36.05,1.29,1.32,35.22,7.65,-1.777525764073725,-0.645677140289926,0.8145011795453827,-0.880254974919652,1.0990467499283194,0.1,0.15239482386416534,0.06665557716024703
WRB,2.019230769230769,-0.25,2.47,35.49,1.64,0.32,72.8,20.92,-1.8362624849937,-0.026097195456559898,1.6200951072482577,-0.6945539289566577,1.0453003025029082,0.1,0.13071479443420472,0.06339593377047556
