Ticker,Change %,ATR/Price %,RSI,ROE %,Price,Rel Volume,"Avg Volume, M",Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
WRB,-5.86,2.682853717026379,21.27,20.92,66.72,6.01,2.61,0.32,-3.0628013232683973,-3.3942370250393887,9.82623227200105,-0.21040697339280376,4.246250573647216,0.1,0.09882689419114328,0.20236186853211074
DOCU,-7.64,3.8830516217450888,41.52,15.22,65.67,2.94,3.03,0.08,-1.2188034913216188,-4.414618820268338,3.8758110299122435,0.6433954717638839,2.682520467862545,0.1,0.06828085903831617,0.12783980710446796
PBR-A,-6.43,2.5239338555265443,41.46,18.2,11.49,2.82,7.36,0.89,-1.2242671886014613,-3.720988498792479,3.64322127452115,-0.32346013387496747,2.491829758879606,0.1,0.10504954392616925,0.11875213610808685
NFLX,-2.89,3.6811652035115725,34.02,42.86,100.24,3.47,38.2,0.66,-1.901765651301907,-1.6916898723259166,4.90308244955624,0.49977655953782024,2.1883482672272043,0.1,0.07202559129102881,0.10428923980685825
PBR,-5.82,2.720527617477329,39.81,18.2,12.13,1.86,22.08,0.89,-1.3745188637971246,-3.371307097056716,1.7825032313924025,-0.1836063364335603,2.0359003662206807,0.1,0.09745833812513792,0.09702409104410381
VICI,-0.96,1.6588532275513885,19.69,10.36,27.73,1.61,10.13,0.64,-3.2066786849709112,-0.5853208471619431,1.2979412409942912,-0.9388652704103275,1.68067461148639,0.1,0.1598321635810109,0.0800952390529183
SOFI,-6.15,6.515478761699065,47.76,8.59,27.78,1.88,72.12,0.32,-0.6505789742180196,-3.5604790029137683,1.821268190624251,2.5160639041557014,1.5865175397054057,0.1,0.04069357143506987,0.07560803306951203
PPL,-0.88,1.8606024808033077,27.05,7.65,33.86,1.63,5.59,1.32,-2.5364651519769215,-0.5394609911965971,1.3367062002261396,-0.7953439352556928,1.4234497836815285,0.1,0.14250120762410737,0.06783677811552406
VALE,-4.87,2.2480620155038755,61.05,13.65,12.9,2.35,32.82,0.45,0.5596299732670509,-2.8267213074682314,2.732244732572701,-0.5197111443418059,1.3919020279191339,0.1,0.11794074122259211,0.06633331931267028
GE,-2.71,2.7224061421427064,37.52,42.74,283.94,1.27,4.02,1.17,-1.5830499766444392,-1.5885051964038879,0.6389369340528595,-0.18226998269866332,1.2560586956473527,0.1,0.09739108956542425,0.059859487853747555
