Ticker,RSI,"Avg Volume, M",Debt/Eq,Rel Volume,Change %,ATR/Price %,Price,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CPNG,22.59,10.9,1.04,2.17,-5.07,3.370324702013974,24.33,8.73,-2.5826624470872823,-2.487366528319133,3.401279483472405,0.22032439348476127,2.4327335987382503,0.1,0.12053192211363092,0.14254108228128773
MSTR,30.87,15.83,0.14,1.59,-8.14,8.631539980256662,162.08,25.59,-1.8923873931200683,-4.123549621960045,1.7096019206739121,3.6524409713292583,2.082254242279896,0.1,0.047063642804179566,0.12200545650922051
IREN,33.5,42.09,0.34,1.1,-11.59,14.120631341600903,35.48,30.19,-1.6731333602778253,-5.962257007321981,0.2804260486544956,7.23321090037598,2.005150748353233,0.1,0.02876866512929859,0.11748773394491037
ARM,29.46,4.63,0.06,1.51,-4.98,4.816274021066174,124.37,12.37,-2.0099342320202824,-2.439400248700996,1.4762670844258439,1.1635792055744139,1.7361625645801746,0.1,0.08434563994987718,0.10172691785893372
MOS,46.99,6.32,0.38,2.1,-5.15,3.580048270313757,24.86,10.0,-0.5485185682467004,-2.530003221313033,3.1971115017553458,0.35713608003616343,1.6811913186933591,0.1,0.11347101597744445,0.09850598939922836
COST,32.36,2.62,0.27,1.84,-2.7,1.9812680115273775,860.56,30.32,-1.7681712300269345,-1.2242544983748462,2.4387732839491245,-0.6858169147221203,1.60368535320266,0.1,0.20503622534521562,0.0939646848313832
UBER,34.55,18.7,0.47,1.73,-3.82,3.615929635963841,81.86,77.55,-1.5855984802457515,-1.8211682002894456,2.1179378841080307,0.38054303515404786,1.57790161149352,0.1,0.11234502752499273,0.09245393887449414
COIN,37.01,9.77,0.48,1.11,-6.37,6.4411788195831,250.42,26.0,-1.3805167613134632,-3.1802127894700076,0.30959290318550414,2.223574359065217,1.4358164875047938,0.1,0.0630679144081095,0.08412874972927566
WDAY,40.68,2.97,0.43,1.41,-4.27,2.973476035365286,214.9,7.34,-1.0745615139632607,-2.060999598380133,1.1845985391157587,-0.03855702756885178,1.3382217999002244,0.1,0.13661845922053642,0.07841038730633108
FUTU,38.91,2.09,0.37,0.8,-5.58,4.577182037185744,161.89,30.24,-1.2221203117316148,-2.759175446155245,-0.5945795872757595,1.0076092408213577,1.173776673723113,0.1,0.08875148752671504,0.0687750592649353
