Ticker,ROE %,"Avg Volume, M",Change %,RSI,Rel Volume,ATR/Price %,Price,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
NVT,8.57,2.2,-7.25,32.48,2.25,4.495210022107591,94.99,0.48,-1.5427062670098632,-3.0082622029556414,2.969581715626672,0.9165292941695055,2.0951023781963105,0.1,0.10001647592968017,0.1177813870198959
ETN,20.69,2.54,-4.28,33.37,2.97,3.6318155911595214,315.82,0.6,-1.4691600153473967,-1.6907341517092012,4.727342717394348,0.358591541773058,2.0155723477713727,0.1,0.12379347290357318,0.11331040870844558
GEV,18.78,3.18,-10.5,48.37,2.12,6.157703642195411,614.19,0.0,-0.22961644800245573,-4.45000165297279,2.65220820141862,1.9908562999004733,1.9692223456350124,0.1,0.07301343018428967,0.11070472814752927
CPNG,8.73,11.09,-2.03,17.54,2.55,3.8292253521126765,22.72,1.04,-2.777291660085424,-0.6926068401588678,3.70198213302987,0.4861605350156703,1.9062448481899092,0.1,0.11741149283024786,0.10716429161453653
PDD,30.03,7.97,-3.69,19.76,1.94,3.028571428571429,105.0,0.03,-2.5938392121183727,-1.4290029900137804,2.2127679509767004,-0.03123340978598359,1.853671701920192,0.1,0.14845120069928613,0.10420876154016469
AVGO,31.05,25.49,-4.48,35.16,2.86,5.656094718115454,326.02,0.8,-1.3212411496442338,-1.7794565794025645,4.458795897679841,1.666709483970866,1.810332436305261,0.1,0.07948860253966554,0.10177233701519955
ARM,12.37,4.69,-5.38,23.39,1.84,5.445976610228661,114.58,0.06,-2.2938696688208973,-2.1787075040226975,1.9686344785089682,1.5309281763205247,1.8060360885649993,0.1,0.08255545279620721,0.1015308071495309
VRT,38.86,7.63,-6.74,33.68,1.56,7.034639257825534,149.83,0.92,-1.4435427816222677,-2.782020012337566,1.2850607555993165,2.5575445582945027,1.4802046731763547,0.1,0.0639116020732461,0.08321338436460268
LEN,8.28,5.96,-4.54,34.07,1.73,3.5641094181591373,112.23,0.19,-1.411314648871299,-1.8060733077105733,1.700087658794462,0.3148388504964665,1.434619431512901,0.1,0.12614513535535526,0.08065069671428317
CEG,20.35,2.63,-6.74,43.0,1.75,5.276123999178813,340.97,0.63,-0.6733730451119444,-2.782020012337566,1.7489143532880087,1.4211670050053944,1.4170537402643908,0.1,0.08521313468844871,0.07966319772581182
