Ticker,Price,Debt/Eq,RSI,Change %,ATR/Price %,Rel Volume,"Avg Volume, M",ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BIRK,41.14,0.52,42.32,-11.34,4.2051531356344185,4.97,2.12,11.36,-0.7926186434569434,-5.9391603740007355,9.435350943815443,0.7665522851290654,4.166537616360369,0.1,0.06815381653511188,0.2884060650586961
LEN,108.33,0.19,30.22,-3.48,3.7570386781131733,1.21,6.04,8.28,-1.8148054765950303,-1.9684086327656425,0.5340456634635209,0.46870963651514036,1.3840631073174252,0.1,0.07628274815951881,0.09580429395547439
CPNG,22.69,1.04,17.46,-0.13,3.7461436756280295,1.63,11.4,8.73,-2.8927479551770126,-0.27603988809165253,1.5283404022262355,0.46146819107108955,1.3685970064821709,0.1,0.07650460316635653,0.09473373665000762
IBN,29.69,0.64,33.28,0.17,1.212529471202425,2.05,4.72,17.41,-1.5563020295369685,-0.12448447812084744,2.52263514098895,-1.2225175686970113,1.2150540627477264,0.1,0.23636310878602373,0.08410555558040707
RRC,34.36,0.33,35.14,-2.99,3.7543655413271244,1.17,3.13,14.18,-1.39917248328599,-1.7208681298133275,0.4393509264385003,0.4669329160208538,1.1331911082703754,0.1,0.07633706205570219,0.07843903465853044
BKR,44.47,0.33,32.11,-1.81,3.035754441196312,1.23,7.51,16.83,-1.6551415828238747,-1.1247501839281608,0.5813930319760311,-0.010697363016015314,1.09031046106002,0.1,0.09440725225296485,0.07547085343281723
NOW,153.38,0.21,32.41,-1.98,3.5402268874690312,1.25,7.71,16.81,-1.6297981076221042,-1.210631582911617,0.6287404004885414,0.32460404721239505,1.087438067063271,0.1,0.08095448241538324,0.07527202747078877
PAYX,114.24,1.26,50.05,-2.11,1.9345238095238095,1.93,3.31,41.27,-0.1396017657579842,-1.2763055938989658,2.238550929913889,-0.7426385949200844,1.0175416213547188,0.1,0.14814872471309912,0.07043382349316535
PR,13.77,0.37,44.15,-4.11,3.195352214960058,0.97,11.37,8.58,-0.638023444726142,-2.286674993704333,-0.034122758686601896,0.09538049913023416,1.0072818518003226,0.1,0.08969190750436916,0.0697236463537646
ARM,113.51,0.06,22.83,-0.93,5.391595454145008,1.07,4.79,12.37,-2.4390997490653166,-0.6801876480137994,0.20261408387594948,1.555130106356997,0.9767603951171808,0.1,0.05315629441147061,0.06761096334634854
