Ticker,RSI,"Avg Volume, M",Change %,ATR/Price %,Price,Rel Volume,Debt/Eq,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CRH,56.16,4.93,-2.16,2.483523549268606,124.42,28.3,0.89,15.08,0.28244705953351723,-1.2842055459456905,12.09085219461603,-0.36776869482922875,2.8055627786503896,0.1,0.08946465229372173,0.19531163107988855
NKE,31.98,15.7,-10.54,3.6620677908363137,58.71,6.89,0.8,17.95,-1.758359546502226,-4.823333285860334,2.208219048776208,0.47263555722635414,2.697972745359502,0.1,0.06067270828644167,0.18782165970947737
LKQ,48.55,3.0,0.13,2.8581035642232684,29.74,20.4,0.84,10.87,-0.3598415373205774,-0.3170692065179413,8.444294424782559,-0.10066065916974877,1.9358437112169682,0.1,0.07773951006529334,0.1347654009493994
SONY,26.35,4.11,-1.97,2.0472440944881893,25.4,1.35,0.21,14.45,-2.2335349473285797,-1.2039627928927328,-0.34898728601840173,-0.678873781893446,1.2012141300631234,0.1,0.10853008265930907,0.0836235399201073
VICI,32.7,11.58,-1.42,1.660649819494585,27.7,1.98,0.64,10.36,-1.6975911115830473,-0.9716811393183827,-0.05818584361396055,-0.9545490268828002,1.0180630217809883,0.1,0.1337955589374091,0.0708733202619035
COST,31.46,2.67,-0.23,1.8454454080082279,855.62,3.29,0.27,30.32,-1.8022478606105214,-0.4691081070393342,0.54649652075083,-0.8227737460996246,0.9865512674375778,0.1,0.1203978019801683,0.0686796027711258
AM,39.67,2.34,-0.96,2.1130782410051396,17.51,4.6,1.46,22.52,-1.109318901323778,-0.7774092108743808,1.1511788851156204,-0.6319283260404706,0.9537834488965268,0.1,0.10514876661306036,0.06639844330647779
EVRG,33.83,2.13,-1.12,1.4350765834138266,72.47,1.86,1.43,8.36,-1.6022184290015593,-0.8449820555505555,-0.11357659454813979,-1.115402306773283,0.9453450813609404,0.1,0.15482628130551432,0.0658109991973783
BSY,28.66,2.31,-0.43,2.591194968553459,39.75,2.17,1.07,24.16,-2.0385695519628824,-0.5535741628845524,0.02951617869848996,-0.2909896352060764,0.9422524994569077,0.1,0.08574714504120169,0.06559570648658203
PINS,42.07,13.89,-0.61,3.4892638036809824,26.08,6.17,0.04,51.49,-0.9067574515931833,-0.6295936131452489,1.875874543171133,0.34941132816871673,0.8779566484758061,0.1,0.06367749281788032,0.061119696317659955
