Ticker,"Avg Volume, M",RSI,Change %,Price,Debt/Eq,ATR/Price %,Rel Volume,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CPNG,10.39,21.23,-3.36,22.42,1.04,3.8358608385370205,1.88,8.73,-2.777036712182705,-2.684548755349995,3.8095269841230324,0.7034203660148843,2.603118273859563,0.1,0.08586005636099572,0.16240054738887394
NKE,16.88,29.45,-2.54,57.22,0.8,3.722474659210066,2.28,17.95,-2.092002877554169,-2.1654413570380697,5.2260714947925875,0.6177743095392705,2.473542350111874,0.1,0.08847534447947447,0.15431670380928753
SONY,4.13,25.38,-0.67,25.23,0.21,2.0214030915576697,1.52,14.45,-2.4311862968897096,-0.9816232657657514,2.5346369245204325,-0.6671271874246064,1.7681234505759584,0.1,0.16293001092421094,0.11030778705221887
ARM,4.67,23.35,-0.65,113.29,0.06,5.0489893194456705,1.63,12.37,-2.6003613193101387,-0.968962109709363,2.92418666495456,1.619754887601315,1.6721250443876061,0.1,0.06523032768583555,0.10431874157933194
INFY,15.42,62.86,-5.24,19.16,0.08,6.106471816283925,1.55,29.15,0.6923013091781196,-3.874697424650508,2.6408777628206495,2.4185224815337447,1.4001619448260914,0.1,0.05393412721753102,0.08735179978422102
TGT,7.75,54.46,-2.87,95.2,1.32,2.7521008403361344,1.37,25.1,-0.007733266354691476,-2.3743504319684785,2.0034327330193498,-0.11519589359356552,1.245935430376336,0.1,0.11967120643351838,0.07773008162410731
GME,7.0,45.52,-3.42,21.74,0.83,3.633854645814168,0.92,8.35,-0.7527700646003261,-2.7225322235191607,0.4098201585160997,0.5508353341083339,1.2432362991342067,0.1,0.09063302192593188,0.07756169112276207
PSTG,3.67,37.9,-2.62,67.32,0.16,6.268568033273916,1.09,9.27,-1.3878014295479482,-2.2160859812636233,1.011851575550661,2.540961581582933,1.2096347507358889,0.1,0.052539467712806355,0.07546539380588689
BMRN,2.87,65.44,-3.06,59.28,0.1,3.609986504723347,1.8,9.07,0.9073119288060544,-2.494631414504169,3.526218081989122,0.5328065745896116,1.207524778933203,0.1,0.09123226010922847,0.07533375915095313
PG,9.14,43.34,-1.23,142.69,0.67,1.7380334991940571,1.26,31.9,-0.9344457044409842,-1.3361356353446274,1.6138829925852216,-0.8811699239830316,1.2055970598403114,0.1,0.18949417715046712,0.07521349468235738
