Ticker,Rel Volume,Debt/Eq,"Avg Volume, M",Price,ROE %,Change %,ATR/Price %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BF-B,1.29,0.64,4.2,26.64,20.67,-5.2,3.5660660660660657,32.05,-1.8992394044467902,-3.8804906024199286,1.9265469997786815,0.5546854274620047,2.3527463596128877,0.1,0.10568710015794562,0.14799452863698548
DOCS,1.46,0.01,2.12,43.53,24.61,-3.22,4.158051918217322,31.15,-1.9764535349070218,-2.3671432735968296,2.461475277488897,1.00885353731286,1.9116685847428414,0.1,0.09064032602453842,0.12024946503612909
FSLR,1.74,0.1,2.19,269.39,16.86,-5.34,4.79230854894391,54.86,0.057709835328638596,-3.98749495900338,3.3425336172468993,1.4954515431447042,1.894386362421069,0.1,0.07864418111751816,0.11916236343001668
ARM,1.47,0.06,4.71,112.02,12.37,-1.12,4.936618460989109,22.56,-2.713419513410789,-0.7620779248450575,2.4929416467659684,1.6061652700828357,1.5543959057344563,0.1,0.07634521170158685,0.09777598356258056
MSTR,0.96,0.14,16.35,157.88,25.59,-3.92,7.797061059032178,33.32,-1.7902816870195741,-2.902165056514087,0.8881568136353213,3.800680229129789,1.4399197000508666,0.1,0.04833708222120261,0.09057510020723196
NOW,1.53,0.21,8.0,154.36,16.81,-1.48,3.362270018139414,35.72,-1.5843773391256228,-1.0372319846310756,2.681739862428398,0.39833428233654217,1.4140778075668696,0.1,0.11209307386404803,0.08894957067166144
PHM,1.47,0.17,2.02,117.38,21.57,-1.45,2.7432271255750558,36.69,-1.501157665185151,-1.0143024796489073,2.4929416467659684,-0.07659183187864188,1.3866585632329784,0.1,0.13738825268256616,0.0872248211574621
BSY,0.66,1.07,2.35,39.16,24.16,-2.05,2.5536261491317673,27.39,-2.299037013274212,-1.4728925792922707,-0.055834264676823814,-0.22205260055107118,1.3312137645180113,0.1,0.14758902027311907,0.08373718347919397
BIRK,1.53,0.49,2.33,42.69,12.67,-2.71,4.146170063246663,48.01,-0.5299754909520141,-1.9773416888999706,2.681739862428398,0.9997378471423327,1.313935200719641,0.1,0.09090007784173076,0.08265031200475054
SFM,0.89,1.3,2.7,78.12,36.96,-2.65,3.3538146441372247,36.6,-1.5088790782311738,-1.931482678935634,0.6678922286958209,0.3918473684775346,1.2985203238997935,0.1,0.11237567411574423,0.08168067181398816
