Ticker,"Avg Volume, M",Debt/Eq,ROE %,ATR/Price %,RSI,Change %,Price,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PBR-A,7.34,0.89,18.2,2.183803457688808,35.06,-3.0,10.99,0.83,-1.76764642333949,-3.0615227505878546,1.7659794810066016,-0.3880648219743253,2.082211589273323,0.1,0.15942110023232636,0.1507374542487334
BF-B,4.23,0.64,20.67,3.4746086292478044,31.08,-2.6,26.19,0.81,-2.124089713850402,-2.666431202013742,1.67495599443298,0.6686352168324268,1.9448099977558038,0.1,0.1001967090582158,0.14079054672897293
PBR,21.67,0.89,18.2,2.251082251082251,31.72,-2.37,11.55,0.53,-2.0667721997983963,-2.4392535615836275,0.40062718240226924,-0.33298795587852403,1.6905332485520144,0.1,0.15465643236649004,0.122382700933148
ARM,4.71,0.06,12.37,4.525256189353406,21.43,-1.15,110.27,0.64,-2.988330355415804,-1.2342243384325833,0.9012563585571912,1.5287335043183048,1.505272064126543,0.1,0.07693362217480401,0.1089710959573316
GME,6.82,0.83,8.35,3.4613560929350404,40.77,-2.04,21.09,0.55,-1.2562667276567494,-2.1133030340099843,0.4916506689758915,0.6577862088298697,1.211900929495548,0.1,0.10058033342091102,0.08773309199454905
CRDO,6.24,0.01,22.87,7.80915556169302,44.35,-3.57,144.83,0.43,-0.9356468834283415,-3.624528207305965,-0.05449025046584183,4.217052911961876,1.1634579404676513,0.1,0.04458156162539434,0.08422616076821154
IREN,41.09,0.34,30.19,10.471464019851116,44.13,-4.0,40.3,0.49,-0.9553497788837183,-4.049251622023137,0.21858020925502472,6.396515400211306,1.1556749921472735,0.1,0.033246960430358075,0.08366273012436778
VLO,2.61,0.45,6.07,2.627888543381501,39.23,-0.28,164.01,0.96,-1.3941869958443893,-0.37490022028388814,2.357632143735146,-0.024520626750653685,1.0931590170669916,0.1,0.13248063765593532,0.07913701382251602
COIN,9.51,0.48,26.0,5.550865344027016,34.81,-1.18,236.9,0.61,-1.7900360772660548,-1.2638562045756419,0.7647211286967578,2.368334442882278,0.9849730800957175,0.1,0.06271893269587732,0.07130511392887695
PSX,2.35,0.81,5.38,2.5753424657534247,33.56,-0.51,127.75,0.55,-1.9019843468988789,-0.6020778607140029,0.4916506689758915,-0.0675367561341988,0.9815055820731068,0.1,0.1351837103396878,0.07105409149329284
