Ticker,Change %,ATR/Price %,Debt/Eq,Price,ROE %,"Avg Volume, M",RSI,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
HMY,-8.23,4.461152882205513,0.05,19.95,32.05,4.53,50.84,1.01,-0.26819605814592384,-5.020240786007296,1.7977247543102088,1.4876019237459637,2.061737653941072,0.1,0.08334502858783639,0.1400761862744531
AEM,-6.48,3.5193183144624727,0.01,171.34,15.67,2.64,50.1,1.25,-0.34674282453813243,-3.8859864456218656,2.926011972490931,0.7280544281079936,1.993852196243386,0.1,0.1056496972649991,0.13546399131375547
AU,-6.92,4.202966800094185,0.3,84.94,19.42,2.97,51.92,0.9,-0.15356023692486315,-4.1711703940616305,1.2805931126440449,1.279386384847054,1.6418357048893764,0.1,0.08846487069414756,0.11154769550360337
GFI,-6.36,4.564220183486238,0.42,43.6,35.09,3.49,50.48,0.85,-0.3064079985529448,-3.808209005138293,1.0455332755230609,1.5707210969544132,1.4921504967011041,0.1,0.08146296619242586,0.10137795685395945
PAAS,-5.69,4.307044410413476,0.13,52.24,11.27,6.31,64.99,1.44,1.2337454884077894,-3.3739516291050142,3.819239353550669,1.3633203271522698,1.3765879872389357,0.1,0.08632716059373834,0.09352654298914354
GME,-2.66,3.6044812469556744,0.83,20.53,8.35,6.73,36.81,0.88,-1.7574002912306315,-1.4100712568948113,1.186569177795651,0.7967345278960116,1.2662554246134339,0.1,0.10315351614498204,0.08603045610101549
WPM,-5.51,3.424774237519168,0.0,117.38,13.05,2.09,56.52,0.95,0.3347034460537296,-3.2572854683796555,1.5156529497650282,0.6518088544912026,1.2608534123179593,0.1,0.10856625538373059,0.08566343885267096
NEM,-5.64,3.606853020739405,0.17,99.81,22.84,10.52,56.68,0.91,0.3516865306790716,-3.3415443622368586,1.3276050800682415,0.798647257476504,1.2321065313112234,0.1,0.10308568504571476,0.08371035163470614
SIRI,-1.31,2.5086079685194296,0.87,20.33,8.86,3.65,38.02,1.09,-1.62896571375148,-0.5350750514546221,2.1738204937037833,-0.08703830512652334,1.2008821970755446,0.1,0.1482156316044754,0.08158894416546188
BIRK,-2.74,4.0533980582524265,0.49,41.2,12.67,2.29,43.12,1.07,-1.087629891318693,-1.4619228838838596,2.0797965588553895,1.1587658776131082,1.1924261953306603,0.1,0.09172918848794996,0.08101443631123059
