Ticker,RSI,ROE %,"Avg Volume, M",Price,Debt/Eq,Change %,Rel Volume,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
VIPS,32.23,17.83,2.82,18.02,0.21,-6.92,1.4,3.1631520532741395,-2.275201464169548,-6.516638307392658,4.2112082210685875,0.5082966170616193,3.8685559025543275,0.1,0.08827508967346664,0.23991585440684884
GMAB,47.38,28.2,2.05,31.49,0.02,-3.17,1.2,2.4134645919339475,-0.6049574466502817,-2.906722445944668,3.194438594575363,-0.11040087625780087,1.879015768949085,0.1,0.11569572310561033,0.11653073782744205
JD,36.45,13.68,11.96,28.71,0.48,-1.91,0.86,1.9505398815743642,-1.8099585761212769,-1.6937907164981438,1.4659302295368817,-0.4924405563440681,1.5687423539585805,0.1,0.1431539717753468,0.0972885416870097
CPNG,40.61,8.73,11.2,24.13,1.04,-1.35,1.3,3.7297969332780774,-1.351330515865162,-1.154709947855244,3.7028234078219757,0.9759338458262519,1.5200854592839121,0.1,0.07486400363040001,0.09427099179172467
WRB,50.69,20.92,3.12,70.8,0.32,0.01,1.81,1.694915254237288,-0.24003944678303674,0.15448620456322668,6.295585955379699,-0.703400888909098,1.359400914743783,0.1,0.16474424338061508,0.084305834052149
BSY,26.43,24.16,2.39,38.68,1.07,-1.02,0.57,2.3009307135470527,-2.914634817411247,-0.8370373520478211,-0.008385728878294155,-0.20327214870381316,1.3317353284053963,0.1,0.12135416747214225,0.08259010008029197
SMCI,32.38,12.79,27.6,29.65,0.74,-1.43,0.77,4.924114671163575,-2.258664394689159,-1.2317214862328012,1.0083838976149306,1.9615731005307813,1.2271545277925942,0.1,0.056706139032217745,0.07610432276038663
NXT,44.62,35.44,2.24,87.04,0.02,-3.51,0.53,5.284926470588235,-0.9092395250894357,-3.234021484049286,-0.21173965417693869,2.2593416605985186,1.1818592563033126,0.1,0.05283470502523484,0.07329525032258992
SIRI,36.89,8.86,3.68,20.22,0.87,-0.54,0.93,2.4233432245301683,-1.7614498389788034,-0.3749681217824785,1.8217995988095106,-0.10224829863061301,1.122331035891412,0.1,0.11522409550868337,0.06960349447850081
ARM,22.92,12.37,4.71,110.86,0.06,0.32,0.77,4.15839797943352,-3.3016022432523444,0.4529059157762605,1.0083838976149306,1.3296471017694815,1.0657557839626672,0.1,0.0671478613962829,0.06609487259305634
