Ticker,Debt/Eq,Change %,ATR/Price %,"Avg Volume, M",ROE %,Rel Volume,RSI,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PATH,0.04,-1.68,5.186089078706528,26.23,12.56,2.66,51.28,16.39,0.152304006744008,-1.09595890792342,9.102022079867483,2.2603777935411666,1.924645852032174,0.1,0.06855914471089439,0.12415619462708756
LI,0.25,-1.97,3.1896042528056707,4.33,6.53,1.73,41.24,16.93,-1.0313670976200018,-1.4961145443170403,5.069476879778202,0.5757998036472721,1.8409339702688778,0.1,0.11147271054641783,0.11875605897416755
VIPS,0.21,-1.83,3.1091011871113623,2.81,17.83,1.01,29.66,17.69,-2.3965973156015994,-1.3029359612304652,1.9475064022897277,0.5078735710867907,1.633550570240489,0.1,0.11435904148265169,0.10537804776802003
GME,0.83,-2.05,3.436254980079681,6.69,8.35,0.95,33.76,20.08,-1.9132256494768545,-1.6065023060807972,1.6873421958323547,0.7839167805291953,1.4909815455587294,0.1,0.1034713179585949,0.09618112067751511
GPN,0.71,-2.41,2.4160206718346253,2.26,6.72,0.99,41.32,77.4,-1.0219354553541533,-2.1032472340177057,1.86078500013727,-0.0769283598433315,1.4736637772919379,0.1,0.14716506186208958,0.09506397582451874
MSTR,0.14,-2.35,6.745640013162226,16.44,25.59,0.95,31.03,151.95,-2.2350804417989405,-2.0204564126948874,1.6873421958323547,3.57628320099503,1.4692780181398075,0.1,0.05270868752807239,0.09478105667536489
SIRI,0.87,-1.11,2.35,3.68,8.86,1.37,34.62,20.0,-1.811835495118981,-0.3094461053566497,3.5084916410339657,-0.13263475400559813,1.4574103637738236,0.1,0.1512995028215446,0.09401549099808751
ARM,0.06,-1.4,4.070990760223219,4.73,12.37,0.73,21.72,109.31,-3.3326878104870814,-0.7096017417502696,0.7334067721553207,1.3194890577417004,1.4295337919399669,0.1,0.08733840300122281,0.09221721259040752
COIN,0.48,-2.36,5.204740426284602,9.4,26.0,0.7,30.53,226.14,-2.294028205960495,-2.034254882915357,0.6033246689266341,2.276115278346596,1.407952487057215,0.1,0.06831346090480088,0.09082503299201529
CPNG,1.04,-2.24,3.730394234845273,11.25,8.73,0.91,37.38,23.59,-1.4864438369472008,-1.8686732402697215,1.5138993915274397,1.0321032471197082,1.37386053061944,0.1,0.09531266918371091,0.0886258088728157
