Ticker,Debt/Eq,Price,ROE %,RSI,Rel Volume,Change %,ATR/Price %,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
WDAY,0.43,205.79,7.34,32.98,2.28,-4.19,2.614315564410321,2.65,-1.9925472237488695,-1.9662230186680207,5.43645586122145,0.05704055122811545,2.4671567019673906,0.1,0.09999041180279898,0.14706901470129355
PGR,0.19,212.12,34.23,32.43,0.96,-6.85,2.3288704506882896,3.44,-2.0500717208332073,-2.9563312622245124,0.4285385840388234,-0.19076576070490547,1.8570253369484568,0.1,0.11224604176269103,0.11069863797567447
ADBE,0.57,333.3,55.43,39.36,1.45,-4.77,2.5892589258925893,3.89,-1.32526305757055,-2.1821112823006388,2.2875381793566167,0.03528788186357856,1.6815598666398814,0.1,0.10095803368824569,0.10023901301070849
NOW,0.21,147.45,16.81,29.88,1.21,-3.75,3.038318073923364,7.99,-2.3167762073151374,-1.802445715222586,1.3770077653234118,0.42513407632902583,1.674615818319983,0.1,0.08603657797101606,0.09982507321368173
CPRT,0.01,37.77,18.22,30.25,1.08,-3.52,1.7738946253640455,7.98,-2.2780779092765826,-1.7168348520579266,0.8838037910554263,-0.6725624560216438,1.6422364702803278,0.1,0.1473630316762519,0.09789491660503785
PLTR,0.04,167.86,19.76,37.34,1.27,-5.56,4.438222328130585,47.54,-1.5365348468621178,-2.476165986214033,1.6046403688317132,1.6404469109787587,1.5613286742451196,0.1,0.058898917300963916,0.09307194373304208
PANW,0.04,179.37,15.33,32.68,1.25,-2.62,2.3415286837263753,5.45,-2.023924222158508,-1.381835822283174,1.528762834328946,-0.1797766426784838,1.515746246688226,0.1,0.11163924306570744,0.09035474190182495
DT,0.03,42.35,20.57,33.06,1.29,-2.28,2.479338842975207,3.26,-1.9841800241729652,-1.2552806332571562,1.6805179033344804,-0.060138135418517376,1.4759286243092902,0.1,0.10543395091336812,0.08798118432181855
DOCU,0.08,64.85,15.22,37.55,1.08,-5.19,3.176561295296839,2.85,-1.5145709479753713,-2.338444162862191,0.8838037910554263,0.5451485421280837,1.4708011927914233,0.1,0.08229228576665236,0.08767553438045904
NFLX,0.66,90.99,42.86,29.04,0.95,-2.95,2.747554676338059,43.26,-2.404631802862126,-1.50466879986725,0.39059981678743977,0.17271074961237073,1.4291040993515325,0.1,0.09514150605230445,0.08518994015645925
