Ticker,"Avg Volume, M",RSI,ROE %,Debt/Eq,Rel Volume,ATR/Price %,Price,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
HDB,3.5,31.85,14.17,1.1,2.6,1.9315188762071993,34.17,-6.33,-2.0338512004733857,-2.6825982823678745,2.6174448321317483,-0.6124128127284874,2.2354875666936396,0.1,0.11756328947087964,0.1514783194985634
CNQ,6.85,44.32,16.17,0.46,3.56,2.823456407074155,32.23,-6.09,-0.9031887003739392,-2.5959861811599994,4.405876888250239,0.16045024817534476,2.0898415613693917,0.1,0.0804247277177994,0.14160923659383196
CVE,11.8,42.38,10.65,0.35,2.8,3.064903846153846,16.64,-5.08,-1.0790896827470686,-2.2314935885768588,2.9900348438231,0.3696642349812841,1.7197446902298663,0.1,0.07408901686980258,0.11653119414477074
GIS,6.25,31.08,27.29,1.47,1.92,1.825557809330629,44.37,-2.95,-2.103667569765814,-1.4628111903569683,1.350638792381151,-0.7042279809984693,1.5888181226190508,0.1,0.1243870293240816,0.1076595114143969
AR,4.81,40.99,7.65,0.49,2.38,3.8625304136253034,32.88,-3.89,-1.2051218299113213,-1.8020419200878117,2.2075958192712606,1.0608069317069366,1.387945783183255,0.1,0.058789365634764244,0.09404825055800883
FTV,2.91,45.79,7.79,0.51,2.21,1.7654711020256457,53.81,-2.85,-0.7699029044520317,-1.4267228148536868,1.8908943093336115,-0.7562930583388341,1.2226271694576072,0.1,0.12862046424972667,0.08284613690634067
CMCSA,33.58,44.15,24.73,1.02,1.42,2.5950942054745822,28.13,-4.77,-0.9186027039839558,-2.119619624516687,0.4191637631527708,-0.03742539223125904,1.150953106828905,0.1,0.08750191506843132,0.07798944849510135
BSY,2.32,23.61,24.16,1.07,1.11,2.337798791699501,38.07,-0.21,-2.7809770225118333,-0.4739897015670619,-0.15835075496882456,-0.2603716347258908,1.1336053659064373,0.1,0.0971322739870777,0.07681395251776586
SNY,2.42,39.05,8.39,0.32,1.76,1.4523258261418648,47.51,-1.49,-1.3810228122844515,-0.9359209080090619,1.0525667830280694,-1.0276331556569434,1.124206974274038,0.1,0.15635314656990346,0.07617711042941068
BF-B,4.24,30.71,20.67,0.64,1.44,3.022084463386285,25.81,-1.26,-2.1372156952699672,-0.852917644351515,0.4564227643219061,0.33256127867941915,1.104575093863958,0.1,0.07513877110753346,0.07484683944180952
