Ticker,Rel Volume,Price,Debt/Eq,RSI,ATR/Price %,Change %,"Avg Volume, M",ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
JCI,4.11,113.95,0.87,39.95,2.632733655111891,-6.24,4.61,11.86,-1.3244152791154953,-2.484729338222219,6.519400575489935,-0.04536566309672438,2.641617297475859,0.1,0.10043372096365036,0.1587905872739762
AIG,2.92,78.07,0.22,33.45,2.5361854745741,-7.48,4.36,7.68,-1.8587668929930372,-2.913638891279621,3.9151720142787383,-0.12799987058629533,2.4661764144098077,0.1,0.10425705846041171,0.1482446384415913
HDB,2.36,33.43,1.1,27.69,2.0341011067903083,-2.17,3.6,14.17,-2.332284630829136,-1.0769374987515534,2.6896526913558225,-0.5577267032786648,1.7869309539522722,0.1,0.12999119680257715,0.10741442973865177
BZ,2.25,19.95,0.01,40.37,3.4586466165413534,-6.47,2.78,14.41,-1.289887944064947,-2.56428514241835,2.448925681495964,0.6615214335106984,1.7725935732172768,0.1,0.07645049252054961,0.10655259365472852
GPN,3.19,77.03,0.71,42.43,2.6353368817343887,0.01,2.31,6.72,-1.120539586436064,-0.322886832892573,4.506047402116573,-0.04313759864571531,1.410722487052909,0.1,0.10033451097724551,0.08480011560106876
GIS,1.73,43.84,1.47,28.65,1.824817518248175,-1.19,6.38,27.29,-2.2533650078564533,-0.737960593915865,1.3109434530675426,-0.7368495348371885,1.3828376047175388,0.1,0.14489955003443722,0.08312392395652961
SOFI,1.76,26.98,0.32,48.3,5.226093402520385,-7.86,67.53,8.59,-0.6379789751343455,-3.0450789156036637,1.376596273938413,2.174253870578212,1.3469641294881645,0.1,0.05059519930539313,0.08096752900686228
SRAD,1.52,21.98,0.06,38.49,3.3666969972702456,-4.64,2.03,9.79,-1.444438872386451,-1.9312976568578297,0.8513737069714493,0.5828230688692052,1.2935002197428678,0.1,0.0785384718326329,0.07775375325118013
TRU,1.73,82.72,1.16,44.43,3.0343326885880075,-4.86,2.27,9.68,-0.9561237052429742,-2.0073945130454334,1.3109434530675426,0.2983572084791621,1.2695843461665348,0.1,0.08714114911775268,0.07631614318783567
CVX,2.49,156.54,0.22,57.32,2.0761466717771815,-4.46,8.18,7.38,0.10353664904648999,-1.869036592704336,2.9741482484629285,-0.5217405052810592,1.2649286805009377,0.1,0.1273586499853498,0.07603628588757577
