Ticker,ROE %,RSI,ATR/Price %,Price,Rel Volume,"Avg Volume, M",Debt/Eq,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
INVH,5.99,39.85,2.461188943581977,26.41,6.25,5.05,0.86,-6.01,-1.1228806859439582,-2.3780003078877074,8.988797981203984,-0.2512667849368108,3.0481946225755605,0.1,0.11620988632790767,0.15620440284548018
SWKS,7.89,31.27,3.6108324974924777,59.82,3.23,2.92,0.21,-9.73,-1.8571783977175855,-4.144799367317225,3.757485024329996,0.7176730683934661,2.7804219157888364,0.1,0.0792101233064081,0.14248241952717214
AMH,6.36,43.06,2.4830699774266365,31.01,5.59,2.86,0.68,-4.29,-0.8481609126580207,-1.5610932158934148,7.845530911158675,-0.23282506389028046,2.4356276336137657,0.1,0.11518583445706179,0.12481347393137371
FSLR,16.86,38.78,5.354402554850482,241.11,2.97,2.08,0.1,-10.29,-1.2144539437059374,-4.410769118199087,3.307107087645481,2.1871846486576283,2.411531024330092,0.1,0.053416694847881384,0.12357864580200159
YMM,10.3,40.39,3.824626865671641,10.72,2.47,6.36,0.0,-7.59,-1.0766661446435202,-3.1284149621615347,2.4409956709444893,0.8978627306950776,1.8701912485011591,0.1,0.07478232450133088,0.09583774770002404
HDB,14.17,26.53,2.0481927710843375,33.2,3.77,3.68,1.1,-0.69,-2.2628393713547643,0.14871232548998864,4.692885354367067,-0.5993472394782725,1.738456260873912,0.1,0.13964236736063923,0.08908700254623071
TME,14.47,31.14,3.4337349397590353,16.6,1.5,5.24,0.05,-5.74,-1.8683041206232465,-2.2497648922839524,0.7607395225445659,0.5684121248325625,1.5366308465431764,0.1,0.0832954471975743,0.07874448107759287
GIS,27.29,25.1,1.9324796274738063,42.95,1.61,6.46,1.47,-2.03,-2.3852223233170355,-0.48771529269161146,0.9512840342187842,-0.6968723167224335,1.2654722041190267,0.1,0.14800388231727502,0.06484898585476268
CNQ,16.17,35.33,3.1382804838182414,30.59,2.14,7.27,0.46,-3.17,-1.5097135131254031,-1.0291537141296894,1.869362135921835,0.31939790104878246,1.2305361666187709,0.1,0.09113732467187903,0.0630586924020094
DHI,14.48,33.59,2.885650707056205,139.31,1.63,3.14,0.25,-3.59,-1.6586270350934809,-1.2286310272910863,0.9859284908868234,0.10647707179693225,1.1970783128322697,0.1,0.09911611501204252,0.06134414831335278
