Ticker,Change %,Rel Volume,Debt/Eq,ROE %,"Avg Volume, M",RSI,Price,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
HDB,0.57,4.15,1.1,14.17,3.85,29.17,33.39,1.9766397124887691,-2.341098132002793,-0.028088058122146813,7.050464073446489,-0.6981979637068931,2.309127777603716,0.1,0.15311752626384595,0.15495227394501698
SHEL,-1.72,3.23,0.42,8.06,4.06,36.9,70.31,1.8631773574171526,-1.63263086634238,-0.9240957676490691,4.964496606220895,-0.7921754137961102,1.9669711845207973,0.1,0.16244196071098826,0.13199211441738046
DOCS,-5.92,1.81,0.01,24.61,2.27,39.58,43.74,3.9780521262002737,-1.387004440473052,-2.567428684685346,1.7448511676770473,0.9595116360876216,1.6370706637320864,0.1,0.07608200533567439,0.10985438935614354
EQT,-4.2,1.73,0.35,8.19,7.6,36.97,52.2,3.1609195402298846,-1.6262152507413155,-1.8944447281847754,1.563462692266126,0.2827053353032366,1.5166529975470333,0.1,0.09575004337793064,0.10177385289579693
CPNG,-3.52,1.63,1.04,8.73,11.8,33.65,22.45,3.652561247216036,-1.9304987335346624,-1.628381303521759,1.3367270980024746,0.6899173480532403,1.4439616977649183,0.1,0.08286190500483588,0.09689595817446346
CEG,-4.75,1.56,0.63,20.35,2.63,35.39,322.54,4.907918397718112,-1.7710248600224865,-2.1096430863680973,1.178012182017919,1.7296918519491422,1.4208670324453738,0.1,0.06166732177777812,0.09534620811646703
ANET,-4.89,1.16,0.0,31.74,7.71,40.11,123.72,3.879728419010669,-1.338429065207849,-2.1644208502693063,0.2710698049633136,0.8780730719121684,1.19240412421845,0.1,0.07801014669174651,0.0800153773650434
NOW,-3.12,0.9,0.21,16.81,8.08,32.23,146.19,2.989260551337301,-2.060644078584829,-1.4718734066611614,-0.3184427401221795,0.14052536688255793,1.1586400351234047,0.1,0.10124851209633108,0.0777496636900779
YMM,-1.4,2.04,0.0,10.3,6.51,38.51,10.57,3.973509933774834,-1.4850717075178956,-0.7988894501605908,2.2663430344834454,0.9557494749577211,1.1570800645883872,0.1,0.07616897607794196,0.07764498304657577
JCI,-1.0,1.58,0.87,11.86,4.93,35.42,111.29,2.6866744541288528,-1.768275310479173,-0.642381553299993,1.2233593008706494,-0.11009758052717285,1.0994115205495552,0.1,0.11265160266292708,0.0737751789930346
