Ticker,RSI,"Avg Volume, M",Rel Volume,ATR/Price %,Price,Debt/Eq,Change %,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
YMM,37.26,6.63,3.47,4.011461318051576,10.47,0.0,-0.95,10.3,-1.5841659730242281,-0.5910112063057221,6.405738014453022,1.0164295007223603,1.940816665583851,0.1,0.0777612516473933,0.1252335982640206
AIG,29.74,4.58,2.0,2.704494233063768,75.43,0.22,-3.17,7.68,-2.264228010596936,-1.5883455215782545,2.6465269305603387,-0.09325050392322243,1.8870311727657068,0.1,0.1153399586559361,0.12176302274832988
RIO,57.64,3.24,3.11,2.107728337236534,81.13,0.41,-3.63,18.18,0.25887449582308497,-1.7950003796977883,5.485114891867059,-0.5999344056529033,1.6946604782948484,0.1,0.14799642226937826,0.10935006551422308
CART,36.14,5.1,1.65,3.497692494534855,41.17,0.01,-4.32,15.33,-1.685451808407397,-2.104982666877089,1.7514766724906516,0.580214237908677,1.6189259770568327,0.1,0.08918344122995174,0.10446320305526205
NOW,28.17,8.11,1.45,3.159379407616361,141.8,0.21,-3.0,16.81,-2.406209047696557,-1.5119730740123398,1.2400193821651166,0.2929696147077201,1.590070657560365,0.1,0.09873339437321248,0.10260127783909871
EXE,32.76,3.13,1.54,3.3061104004723014,101.63,0.28,-2.56,6.12,-1.9911179901887475,-1.31430320972409,1.4701751628116078,0.41755151941234375,1.40917730059058,0.1,0.09435143272355039,0.09092891001729357
MSTR,40.46,17.29,1.61,6.9726053518083,157.33,0.14,-5.77,25.59,-1.2947778719294583,-2.756394719645184,1.6491852144255452,3.530587938894546,1.3946886560467795,0.1,0.04473740263327738,0.08999401228977294
AR,35.84,4.98,1.73,3.792224346717654,31.38,0.49,-2.49,7.65,-1.7125819428850315,-1.282855731314596,1.956059588620866,0.8302864171185531,1.3565864619821875,0.1,0.08225680352925002,0.08753542104358358
HDB,27.54,4.06,1.32,1.9637462235649545,33.1,1.1,-0.87,14.17,-2.46318233009959,-0.5550712309805858,0.907572143453519,-0.7221823753249549,1.3101214126012608,0.1,0.15884753807979746,0.08453720620409057
BZ,34.6,2.89,1.49,3.435710567412806,19.21,0.01,-2.44,14.41,-1.8247198320592548,-1.2603932467363856,1.3423108402302237,0.5275885016014926,1.2954928954643696,0.1,0.09079235485825282,0.08359328302432507
