Ticker,Rel Volume,Price,ROE %,RSI,Change %,Debt/Eq,ATR/Price %,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
SYF,2.84,79.63,21.64,39.42,-8.36,0.85,2.7376616852944875,3.31,-1.3997117809602397,-3.7754992585423683,4.50834667800862,-0.06335713330764708,2.7193289127584017,0.1,0.09446461981244125,0.18918920547126453
AIG,1.8,74.09,7.68,27.31,-1.78,0.22,2.7534080172762856,4.66,-2.479581036597298,-0.994306798421066,1.9457416180727864,-0.04947917165400542,1.6099569830363851,0.1,0.093924390665592,0.11200795940297081
GIS,1.88,43.48,27.29,34.91,-2.51,1.47,2.115915363385465,6.7,-1.8018761362800695,-1.3028585455165904,2.1428650842216963,-0.6113305676109706,1.5763632122342672,0.1,0.1222223604741219,0.10967077290926727
QCOM,1.35,169.27,23.34,41.99,-4.79,0.74,2.965676138713298,10.09,-1.170540518616124,-2.2665544131574067,0.8369221209851659,0.13760241998261516,1.3566074083195074,0.1,0.08720175709699497,0.09438191772692024
CPNG,1.57,22.17,8.73,33.45,-2.51,1.04,3.6084799278304014,12.18,-1.932066814498905,-1.3028585455165904,1.3790116528946692,0.7041347620223164,1.3376127303821257,0.1,0.07166789768785593,0.09306041961380285
V,2.14,343.2,51.54,45.43,-1.88,0.69,1.7715617715617717,6.17,-0.863789879525168,-1.0365741610368913,2.7835163492056556,-0.9148251178431878,1.3133131958221707,0.1,0.14597976453761694,0.09136985190970848
SWKS,1.4,58.85,7.89,30.91,-2.19,0.21,3.8062871707731523,3.13,-2.158562925920716,-1.1676029851459495,0.9601242873282345,0.8784713208822043,1.2683357942507594,0.1,0.0679434206284284,0.08824068322859228
SNY,1.3,47.6,8.39,42.89,-2.92,0.32,1.7016806722689077,2.57,-1.0902859909469786,-1.476154732241474,0.7137199546420969,-0.9764145227548674,1.1386396963198646,0.1,0.15197455932293966,0.07921746371103139
YMM,1.54,10.32,10.3,35.41,-1.43,0.0,4.069767441860464,6.9,-1.7572902875749885,-0.8463710292656776,1.3050903530888278,1.1106885193299205,1.0612306795790065,0.1,0.06354470469649448,0.07383196205111656
JCI,1.77,111.39,11.86,36.42,0.49,0.87,2.5585779692970645,5.04,-1.6672268731907247,-0.03483766704183245,1.871820318266945,-0.22119179259698396,0.9922058319944824,0.1,0.10107652507751454,0.06902976397532555
